ID	X2R	X19R	X26R	X31R	X42R	X51R	X62R	X68R	X71R	X81R	X84R
2158	0	0	1	0	0	0	0	71	0	0	0
379193	0	0	72	0	0	0	0	0	0	0	0
86283	0	0	0	0	0	0	0	67	0	0	0
226627	0	0	1	0	1	3	0	60	0	1	0
212400	1	0	0	64	0	0	0	0	0	0	0
217247	0	0	0	0	0	0	0	0	64	1	0
1966	0	0	0	0	0	0	0	63	0	0	1
168022	0	0	0	0	0	0	0	63	0	0	0
193314	0	0	61	0	0	0	0	0	0	0	0
215076	0	0	0	0	0	0	0	0	0	0	61
187352	0	0	0	0	0	61	0	0	0	0	0
224960	0	0	0	0	0	0	0	0	60	0	0
409873	1	0	0	0	0	0	0	0	58	0	0
318015	0	0	0	0	0	0	0	59	0	0	0
943	0	0	0	0	57	0	0	1	0	0	0
224873	0	0	0	0	49	6	1	0	0	0	0
225714	0	0	0	0	0	43	0	10	0	0	0
146169	0	0	0	0	0	0	5	0	0	0	48
21189	0	0	0	0	0	0	53	0	0	0	0
417086	0	0	0	0	0	53	0	0	0	0	0
27366	0	0	0	0	0	0	0	52	0	0	0
358705	0	0	0	0	52	0	0	0	0	0	0
387730	0	0	0	0	0	0	0	51	0	0	0
254177	0	0	0	0	0	0	0	50	0	0	0
422178	0	0	0	0	0	0	0	50	0	0	0
240420	0	0	0	0	0	0	0	0	0	49	0
301241	0	0	0	0	0	0	0	49	0	0	0
298665	0	0	0	34	12	0	0	0	2	0	0
3703	0	0	0	0	0	0	0	0	48	0	0
307271	0	0	0	0	0	0	46	0	0	0	0
111843	0	0	0	42	0	0	0	0	0	0	0
248263	0	0	0	0	0	0	0	0	42	0	0
258547	0	0	0	0	42	0	0	0	0	0	0
412203	0	0	0	0	0	0	0	42	0	0	0
208064	0	0	0	0	0	0	0	1	39	0	0
101010	0	0	0	0	40	0	0	0	0	0	0
102580	0	0	0	0	0	0	0	38	0	0	0
244072	0	0	37	0	1	0	0	0	0	0	0
172381	0	0	0	0	0	0	0	0	0	0	38
165266	0	0	2	0	0	3	0	16	0	16	0
165528	0	0	0	0	0	37	0	0	0	0	0
343051	0	0	0	0	0	0	0	0	0	0	35
77891	0	0	0	0	0	0	0	35	0	0	0
236356	0	0	0	0	0	0	0	35	0	0	0
98096	0	0	0	0	0	0	0	33	0	0	0
161803	0	0	0	0	0	0	0	33	0	0	0
249826	0	0	0	0	0	0	0	33	0	0	0
386867	0	0	0	32	0	0	0	0	0	0	0
395528	0	0	0	0	0	0	0	32	0	0	0
223416	0	0	1	0	0	0	0	0	30	0	0
344081	0	0	0	0	0	0	0	31	0	0	0
76092	0	0	0	0	0	1	0	15	0	14	0
204414	0	0	0	0	0	0	0	0	0	0	30
208096	0	0	0	14	9	0	7	0	0	0	0
235747	0	0	0	0	0	0	0	30	0	0	0
79802	0	0	0	0	0	0	0	0	0	0	29
27198	0	0	0	0	0	0	0	29	0	0	0
281748	0	0	0	0	0	0	0	29	0	0	0
434352	0	0	0	0	0	0	0	28	1	0	0
118665	0	0	0	0	0	0	0	0	28	0	0
61123	0	0	0	27	0	0	0	0	0	0	0
53246	0	0	0	0	0	0	0	27	0	0	0
364427	0	0	25	0	0	0	0	0	0	0	0
257592	0	0	24	0	0	0	0	0	0	0	0
287027	0	0	0	0	0	0	0	24	0	0	0
69966	0	0	0	0	0	18	1	0	0	5	0
134274	0	0	0	0	0	0	0	1	0	23	0
436370	0	0	0	0	0	0	0	0	0	0	24
328605	0	0	0	0	0	0	0	24	0	0	0
244115	0	0	0	0	0	0	0	24	0	0	0
47187	3	0	0	0	0	0	0	0	1	2141	0
437913	0	0	0	0	0	1192	0	0	0	0	0
62240	0	0	0	0	0	0	331	0	0	0	0
294470	0	0	0	0	0	0	0	242	0	0	0
77397	0	0	0	152	0	0	0	0	0	0	0
20646	0	0	0	0	26	0	13	69	0	0	0
362766	0	0	0	0	75	0	0	1	0	0	0
444337	0	0	0	0	0	0	0	0	0	64	0
219231	0	0	0	0	13	0	0	49	0	0	0
424944	0	0	0	0	0	0	0	0	0	51	0
279634	0	0	0	0	0	0	0	50	0	0	0
368007	0	0	0	0	0	0	0	0	0	31	0
11895	0	0	0	0	0	30	0	0	0	0	0
300167	0	26	0	0	0	0	0	0	0	0	0
313826	0	0	0	0	0	0	0	0	0	24	0
84069	0	0	0	0	0	2581	0	0	0	0	0
244632	0	0	0	0	0	0	0	0	0	1493	0
239552	0	0	0	0	0	0	588	0	0	0	0
36047	0	0	0	0	0	0	0	0	0	275	0
132443	0	0	0	0	0	254	0	0	0	0	0
240499	0	0	0	151	0	0	0	0	0	0	0
412091	0	0	0	0	0	0	0	81	0	0	0
269103	29	0	0	0	0	0	0	0	0	0	0
193915	0	0	0	28	0	0	0	0	0	0	0
