	cast	year	month	day	depth	sal	season
1	1	2018	3	19	0	0.4	spring
2	1	2018	3	19	0.3	0.4	spring
3	1	2018	3	19	0.61	0.4	spring
4	1	2018	3	19	0.91	2.9	spring
5	1	2018	3	19	1.22	3.4	spring
6	1	2018	3	19	1.52	3.7	spring
7	1	2018	3	19	1.83	4.2	spring
8	1	2018	3	19	2.13	5.5	spring
9	1	2018	3	19	2.44	5.1	spring
10	1	2018	3	19	2.74	17.7	spring
11	1	2018	3	19	3.05	18.6	spring
12	1	2018	3	19	3.35	19.1	spring
13	1	2018	3	19	3.66	19.6	spring
14	1	2018	3	19	3.96	20.4	spring
15	1	2018	3	19	4.27	21.4	spring
16	1	2018	3	19	4.57	22.3	spring
17	1	2018	3	19	4.88	22.9	spring
18	2	2018	3	29	0	16.2	spring
19	2	2018	3	29	0.3	16.4	spring
20	2	2018	3	29	0.61	16.6	spring
21	2	2018	3	29	0.91	16.6	spring
22	2	2018	3	29	1.22	16.6	spring
23	2	2018	3	29	1.52	16.7	spring
24	2	2018	3	29	1.83	19.9	spring
25	2	2018	3	29	2.13	23.2	spring
26	2	2018	3	29	2.44	24.2	spring
27	2	2018	3	29	2.74	24.7	spring
28	2	2018	3	29	3.05	25.1	spring
29	2	2018	3	29	3.35	25.7	spring
30	2	2018	3	29	3.66	26.3	spring
31	2	2018	3	29	3.96	26.6	spring
32	2	2018	3	29	4.27	27.1	spring
33	2	2018	3	29	4.57	27.1	spring
34	2	2018	3	29	4.88	27.3	spring
35	3	2018	4	4	0	16.4	spring
36	3	2018	4	4	0.3	16.5	spring
37	3	2018	4	4	0.61	16.5	spring
38	3	2018	4	4	0.91	16.6	spring
39	3	2018	4	4	1.22	16.6	spring
40	3	2018	4	4	1.52	16.6	spring
41	3	2018	4	4	1.83	16.6	spring
42	3	2018	4	4	2.13	16.6	spring
43	3	2018	4	4	2.44	21	spring
44	3	2018	4	4	2.74	24.1	spring
45	3	2018	4	4	3.05	25.2	spring
46	3	2018	4	4	3.35	25.8	spring
47	3	2018	4	4	3.66	25.9	spring
48	3	2018	4	4	3.96	26.2	spring
49	3	2018	4	4	4.27	26.7	spring
50	3	2018	4	4	4.57	27	spring
51	3	2018	4	4	4.88	27.2	spring
52	3	2018	4	4	5.18	27.3	spring
53	4	2018	4	11	0	16.4	spring
54	4	2018	4	11	0.3	16.4	spring
55	4	2018	4	11	0.61	16.4	spring
56	4	2018	4	11	0.91	16.5	spring
57	4	2018	4	11	1.22	16.4	spring
58	4	2018	4	11	1.52	16.5	spring
59	4	2018	4	11	1.83	16.5	spring
60	4	2018	4	11	2.13	16.5	spring
61	4	2018	4	11	2.44	19.9	spring
62	4	2018	4	11	2.74	23.9	spring
63	4	2018	4	11	3.05	24.9	spring
64	4	2018	4	11	3.35	25.6	spring
65	4	2018	4	11	3.66	25.9	spring
66	4	2018	4	11	3.96	26.2	spring
67	4	2018	4	11	4.27	26.6	spring
68	4	2018	4	11	4.57	27	spring
69	4	2018	4	11	4.88	27.3	spring
70	4	2018	4	11	5.18	27.4	spring
71	5	2018	4	13	0	16.1	spring
72	5	2018	4	13	0.3	16.2	spring
73	5	2018	4	13	0.61	16.3	spring
74	5	2018	4	13	0.91	16.3	spring
75	5	2018	4	13	1.22	16.3	spring
76	5	2018	4	13	1.52	16.4	spring
77	5	2018	4	13	1.83	16.4	spring
78	5	2018	4	13	2.13	16.4	spring
79	5	2018	4	13	2.44	16.3	spring
80	5	2018	4	13	2.74	24.1	spring
81	5	2018	4	13	3.05	25.1	spring
82	5	2018	4	13	3.35	25.8	spring
83	5	2018	4	13	3.66	26	spring
84	5	2018	4	13	3.96	26.2	spring
85	5	2018	4	13	4.27	26.3	spring
86	5	2018	4	13	4.57	27	spring
87	5	2018	4	13	4.88	27.3	spring
88	5	2018	4	13	5.18	27.4	spring
89	6	2018	4	19	0	16.1	spring
90	6	2018	4	19	0.3	16.2	spring
91	6	2018	4	19	0.61	16.3	spring
92	6	2018	4	19	0.91	16.3	spring
93	6	2018	4	19	1.22	16.3	spring
94	6	2018	4	19	1.52	16.4	spring
95	6	2018	4	19	1.83	16.4	spring
96	6	2018	4	19	2.13	16.4	spring
97	6	2018	4	19	2.44	16.4	spring
98	6	2018	4	19	2.74	17.2	spring
99	6	2018	4	19	3.05	24	spring
100	6	2018	4	19	3.35	25.5	spring
101	6	2018	4	19	3.66	26	spring
102	6	2018	4	19	3.96	26.3	spring
103	6	2018	4	19	4.27	26.6	spring
104	6	2018	4	19	4.57	27.1	spring
105	6	2018	4	19	4.88	27.5	spring
106	6	2018	4	19	5.18	27.7	spring
107	7	2018	4	24	0	15.5	spring
108	7	2018	4	24	0.3	15.5	spring
109	7	2018	4	24	0.61	15.5	spring
110	7	2018	4	24	0.91	15.5	spring
111	7	2018	4	24	1.22	15.6	spring
112	7	2018	4	24	1.52	15.6	spring
113	7	2018	4	24	1.83	15.6	spring
114	7	2018	4	24	2.13	15.6	spring
115	7	2018	4	24	2.44	15.7	spring
116	7	2018	4	24	2.74	15.8	spring
117	7	2018	4	24	3.05	24.2	spring
118	7	2018	4	24	3.35	25.2	spring
119	7	2018	4	24	3.66	25.8	spring
120	7	2018	4	24	3.96	26	spring
121	7	2018	4	24	4.27	26.2	spring
122	7	2018	4	24	4.57	26.7	spring
123	7	2018	4	24	4.88	26.5	spring
124	8	2018	4	27	0	14.8	spring
125	8	2018	4	27	0.3	14.8	spring
126	8	2018	4	27	0.61	15.1	spring
127	8	2018	4	27	0.91	15.2	spring
128	8	2018	4	27	1.22	11.6	spring
129	8	2018	4	27	1.52	15.5	spring
130	8	2018	4	27	1.83	15.5	spring
131	8	2018	4	27	2.13	15.6	spring
132	8	2018	4	27	2.44	15.6	spring
133	8	2018	4	27	2.74	15.8	spring
134	8	2018	4	27	3.05	22.7	spring
135	8	2018	4	27	3.35	25.4	spring
136	8	2018	4	27	3.66	25.9	spring
137	8	2018	4	27	3.96	26.1	spring
138	8	2018	4	27	4.27	26.3	spring
139	8	2018	4	27	4.57	26.9	spring
140	8	2018	4	27	4.88	27.4	spring
141	8	2018	4	27	5.18	27.6	spring
142	9	2018	5	2	0	12.4	spring
143	9	2018	5	2	0.3	14.4	spring
144	9	2018	5	2	0.61	14.4	spring
145	9	2018	5	2	0.91	14.4	spring
146	9	2018	5	2	1.22	14.4	spring
147	9	2018	5	2	1.52	14.4	spring
148	9	2018	5	2	1.83	14.3	spring
149	9	2018	5	2	2.13	14.3	spring
150	9	2018	5	2	2.44	14.3	spring
151	9	2018	5	2	2.74	14.3	spring
152	9	2018	5	2	3.05	23.3	spring
153	9	2018	5	2	3.35	25.2	spring
154	9	2018	5	2	3.66	25.6	spring
155	9	2018	5	2	3.96	25.5	spring
156	10	2018	5	4	0	13.8	spring
157	10	2018	5	4	0.3	13.8	spring
158	10	2018	5	4	0.61	13.9	spring
159	10	2018	5	4	0.91	14.1	spring
160	10	2018	5	4	1.22	14.2	spring
161	10	2018	5	4	1.52	14.3	spring
162	10	2018	5	4	1.83	14.3	spring
163	10	2018	5	4	2.13	14.3	spring
164	10	2018	5	4	2.44	14.3	spring
165	10	2018	5	4	2.74	14.3	spring
166	10	2018	5	4	3.05	23.1	spring
167	10	2018	5	4	3.35	24.8	spring
168	10	2018	5	4	3.66	25.4	spring
169	10	2018	5	4	3.96	25.6	spring
170	10	2018	5	4	4.27	26.2	spring
171	10	2018	5	4	4.57	26.8	spring
172	10	2018	5	4	4.88	27.2	spring
173	10	2018	5	4	5.18	27.4	spring
174	11	2018	5	7	0	14.2	spring
175	11	2018	5	7	0.3	14.3	spring
176	11	2018	5	7	0.61	14.2	spring
177	11	2018	5	7	0.91	14.2	spring
178	11	2018	5	7	1.22	14.2	spring
179	11	2018	5	7	1.52	14.3	spring
180	11	2018	5	7	1.83	14.2	spring
181	11	2018	5	7	2.13	14.3	spring
182	11	2018	5	7	2.44	14.3	spring
183	11	2018	5	7	2.74	14.3	spring
184	11	2018	5	7	3.05	21.4	spring
185	11	2018	5	7	3.35	24.4	spring
186	11	2018	5	7	3.66	25.2	spring
187	11	2018	5	7	3.96	25.7	spring
188	11	2018	5	7	4.27	26	spring
189	11	2018	5	7	4.57	26.7	spring
190	11	2018	5	7	4.88	27.2	spring
191	11	2018	5	7	5.18	27.2	spring
192	12	2018	5	9	0	14.2	spring
193	12	2018	5	9	0.3	14.2	spring
194	12	2018	5	9	0.61	14.2	spring
195	12	2018	5	9	0.91	14.2	spring
196	12	2018	5	9	1.22	14.2	spring
197	12	2018	5	9	1.52	14.2	spring
198	12	2018	5	9	1.83	14.2	spring
199	12	2018	5	9	2.13	14.2	spring
200	12	2018	5	9	2.44	14.1	spring
201	12	2018	5	9	2.74	14.1	spring
202	12	2018	5	9	3.05	22.1	spring
203	12	2018	5	9	3.35	24.4	spring
204	12	2018	5	9	3.66	25.5	spring
205	12	2018	5	9	3.96	26	spring
206	12	2018	5	9	4.27	26.2	spring
207	12	2018	5	9	4.57	26.8	spring
208	12	2018	5	9	4.88	27.3	spring
209	12	2018	5	9	5.18	27.5	spring
210	13	2018	5	11	0	14.1	spring
211	13	2018	5	11	0.3	14	spring
212	13	2018	5	11	0.61	14	spring
213	13	2018	5	11	0.91	14	spring
214	13	2018	5	11	1.22	14	spring
215	13	2018	5	11	1.52	14.1	spring
216	13	2018	5	11	1.83	14.1	spring
217	13	2018	5	11	2.13	14.1	spring
218	13	2018	5	11	2.44	14.2	spring
219	13	2018	5	11	2.74	14.5	spring
220	13	2018	5	11	3.05	22.4	spring
221	13	2018	5	11	3.35	24.4	spring
222	13	2018	5	11	3.66	25.3	spring
223	13	2018	5	11	3.96	25.8	spring
224	13	2018	5	11	4.27	26.3	spring
225	13	2018	5	11	4.57	27.1	spring
226	14	2018	5	15	0	13.5	spring
227	14	2018	5	15	0.3	13.5	spring
228	14	2018	5	15	0.61	13.5	spring
229	14	2018	5	15	0.91	13.7	spring
230	14	2018	5	15	1.22	13.7	spring
231	14	2018	5	15	1.52	13.7	spring
232	14	2018	5	15	1.83	13.7	spring
233	14	2018	5	15	2.13	13.7	spring
234	14	2018	5	15	2.44	13.8	spring
235	14	2018	5	15	2.74	14	spring
236	14	2018	5	15	3.05	19.9	spring
237	14	2018	5	15	3.35	23.7	spring
238	14	2018	5	15	3.66	25.3	spring
239	14	2018	5	15	3.96	26.1	spring
240	14	2018	5	15	4.27	26.5	spring
241	14	2018	5	15	4.57	26.7	spring
242	15	2018	5	19	0	13.8	spring
243	15	2018	5	19	0.3	13.8	spring
244	15	2018	5	19	0.61	13.8	spring
245	15	2018	5	19	0.91	13.8	spring
246	15	2018	5	19	1.22	13.8	spring
247	15	2018	5	19	1.52	13.8	spring
248	15	2018	5	19	1.83	13.8	spring
249	15	2018	5	19	2.13	14.1	spring
250	15	2018	5	19	2.44	15.3	spring
251	15	2018	5	19	2.74	18.4	spring
252	15	2018	5	19	3.05	21.5	spring
253	15	2018	5	19	3.35	23.5	spring
254	15	2018	5	19	3.66	24.8	spring
255	15	2018	5	19	3.96	25.7	spring
256	15	2018	5	19	4.27	26.1	spring
257	15	2018	5	19	4.57	26.7	spring
258	15	2018	5	19	4.88	27.2	spring
259	16	2018	5	21	0	13.3	spring
260	16	2018	5	21	0.3	13.3	spring
261	16	2018	5	21	0.61	13.4	spring
262	16	2018	5	21	0.91	13.6	spring
263	16	2018	5	21	1.22	13.6	spring
264	16	2018	5	21	1.52	13.6	spring
265	16	2018	5	21	1.83	13.6	spring
266	16	2018	5	21	2.13	13.7	spring
267	16	2018	5	21	2.44	13.7	spring
268	16	2018	5	21	2.74	18.4	spring
269	16	2018	5	21	3.05	21.2	spring
270	16	2018	5	21	3.35	23.3	spring
271	16	2018	5	21	3.66	24.4	spring
272	16	2018	5	21	3.96	25.5	spring
273	16	2018	5	21	4.27	26	spring
274	16	2018	5	21	4.57	26.7	spring
275	17	2018	5	24	0	13.3	spring
276	17	2018	5	24	0.3	13.3	spring
277	17	2018	5	24	0.61	13.3	spring
278	17	2018	5	24	0.91	13.3	spring
279	17	2018	5	24	1.22	13.3	spring
280	17	2018	5	24	1.52	13.3	spring
281	17	2018	5	24	1.83	13.3	spring
282	17	2018	5	24	2.13	13.4	spring
283	17	2018	5	24	2.44	13.7	spring
284	17	2018	5	24	2.74	17.3	spring
285	17	2018	5	24	3.05	21.9	spring
286	17	2018	5	24	3.35	23.1	spring
287	17	2018	5	24	3.66	24.2	spring
288	17	2018	5	24	3.96	25.2	spring
289	17	2018	5	24	4.27	25.7	spring
290	17	2018	5	24	4.57	26.3	spring
291	17	2018	5	24	4.88	26.8	spring
292	18	2018	5	27	0	9.3	spring
293	18	2018	5	27	0.3	13.6	spring
294	18	2018	5	27	0.61	13.6	spring
295	18	2018	5	27	0.91	13.6	spring
296	18	2018	5	27	1.22	13.6	spring
297	18	2018	5	27	1.52	13.6	spring
298	18	2018	5	27	1.83	13.6	spring
299	18	2018	5	27	2.13	13.6	spring
300	18	2018	5	27	2.44	13.6	spring
301	18	2018	5	27	2.74	15	spring
302	18	2018	5	27	3.05	21.2	spring
303	18	2018	5	27	3.35	23.1	spring
304	18	2018	5	27	3.66	24.4	spring
305	18	2018	5	27	3.96	25.3	spring
306	18	2018	5	27	4.27	25.9	spring
307	18	2018	5	27	4.57	26.6	spring
308	18	2018	5	27	4.88	27.1	spring
309	18	2018	5	27	5.18	27.3	spring
310	19	2018	5	30	0	6	spring
311	19	2018	5	30	0.3	13.5	spring
312	19	2018	5	30	0.61	13.5	spring
313	19	2018	5	30	0.91	13.5	spring
314	19	2018	5	30	1.22	13.5	spring
315	19	2018	5	30	1.52	13.5	spring
316	19	2018	5	30	1.83	13.6	spring
317	19	2018	5	30	2.13	13.6	spring
318	19	2018	5	30	2.44	13.6	spring
319	19	2018	5	30	2.74	14.2	spring
320	19	2018	5	30	3.05	20.3	spring
321	19	2018	5	30	3.35	22.9	spring
322	19	2018	5	30	3.66	24.3	spring
323	19	2018	5	30	3.96	25.4	spring
324	19	2018	5	30	4.27	25.9	spring
325	19	2018	5	30	4.57	26.6	spring
326	19	2018	5	30	4.88	27.3	spring
327	20	2018	6	1	0	12.3	spring
328	20	2018	6	1	0.3	12.6	spring
329	20	2018	6	1	0.61	13.1	spring
330	20	2018	6	1	0.91	13.1	spring
331	20	2018	6	1	1.22	13.3	spring
332	20	2018	6	1	1.52	13.5	spring
333	20	2018	6	1	1.83	13.5	spring
334	20	2018	6	1	2.13	13.6	spring
335	20	2018	6	1	2.44	13.6	spring
336	20	2018	6	1	2.74	14.3	spring
337	20	2018	6	1	3.05	20.7	spring
338	20	2018	6	1	3.35	23	spring
339	20	2018	6	1	3.66	24.6	spring
340	20	2018	6	1	3.96	25.5	spring
341	20	2018	6	1	4.27	26	spring
342	20	2018	6	1	4.57	26.6	spring
343	20	2018	6	1	4.88	27.3	spring
344	21	2018	6	5	0	13.1	spring
345	21	2018	6	5	0.3	13.1	spring
346	21	2018	6	5	0.61	13.1	spring
347	21	2018	6	5	0.91	13.1	spring
348	21	2018	6	5	1.22	13.1	spring
349	21	2018	6	5	1.52	13.1	spring
350	21	2018	6	5	1.83	13.1	spring
351	21	2018	6	5	2.13	13.1	spring
352	21	2018	6	5	2.44	13.1	spring
353	21	2018	6	5	2.74	13.1	spring
354	21	2018	6	5	3.05	18.9	spring
355	21	2018	6	5	3.35	22.6	spring
356	21	2018	6	5	3.66	24.3	spring
357	21	2018	6	5	3.96	25.3	spring
358	21	2018	6	5	4.27	25.9	spring
359	21	2018	6	5	4.57	26.7	spring
360	21	2018	6	5	4.88	27.1	spring
361	21	2018	6	5	5.18	27.5	spring
362	22	2018	6	7	0	0.3	spring
363	22	2018	6	7	0.3	12.8	spring
