cast	year	month	day	depth	temp	season
10	2018	5	4	1.52	15.2	spring
10	2018	5	4	1.83	15.2	spring
10	2018	5	4	2.13	15.2	spring
10	2018	5	4	2.44	15.2	spring
10	2018	5	4	2.74	15.8	spring
10	2018	5	4	3.05	16.2	spring
10	2018	5	4	3.35	16.2	spring
10	2018	5	4	3.66	15.9	spring
10	2018	5	4	3.96	15.6	spring
10	2018	5	4	4.27	14.8	spring
10	2018	5	4	4.57	14.1	spring
10	2018	5	4	4.88	13.4	spring
10	2018	5	4	5.18	13.0	spring
11	2018	5	7	0	15.8	spring
11	2018	5	7	0.3	15.7	spring
11	2018	5	7	0.61	15.5	spring
11	2018	5	7	0.91	15.5	spring
11	2018	5	7	1.22	15.5	spring
11	2018	5	7	1.52	15.5	spring
11	2018	5	7	1.83	15.6	spring
11	2018	5	7	2.13	15.6	spring
11	2018	5	7	2.44	15.6	spring
11	2018	5	7	2.74	15.9	spring
11	2018	5	7	3.05	16.7	spring
11	2018	5	7	3.35	16.7	spring
11	2018	5	7	3.66	16.4	spring
11	2018	5	7	3.96	16.0	spring
11	2018	5	7	4.27	15.3	spring
11	2018	5	7	4.57	14.6	spring
11	2018	5	7	4.88	13.9	spring
11	2018	5	7	5.18	13.4	spring
12	2018	5	9	0	17.2	spring
12	2018	5	9	0.3	17.1	spring
12	2018	5	9	0.61	17.1	spring
12	2018	5	9	0.91	17.1	spring
12	2018	5	9	1.22	17.1	spring
12	2018	5	9	1.52	17.0	spring
12	2018	5	9	1.83	17.0	spring
12	2018	5	9	2.13	17.0	spring
12	2018	5	9	2.44	17.0	spring
12	2018	5	9	2.74	17.1	spring
12	2018	5	9	3.05	17.3	spring
12	2018	5	9	3.35	17.3	spring
12	2018	5	9	3.66	16.9	spring
12	2018	5	9	3.96	16.3	spring
12	2018	5	9	4.27	15.8	spring
12	2018	5	9	4.57	15.0	spring
12	2018	5	9	4.88	14.1	spring
12	2018	5	9	5.18	13.3	spring
13	2018	5	11	0	18.2	spring
13	2018	5	11	0.3	18.1	spring
13	2018	5	11	0.61	18.0	spring
13	2018	5	11	0.91	17.9	spring
13	2018	5	11	1.22	17.8	spring
13	2018	5	11	1.52	17.7	spring
13	2018	5	11	1.83	17.6	spring
13	2018	5	11	2.13	17.6	spring
13	2018	5	11	2.44	17.4	spring
13	2018	5	11	2.74	17.6	spring
13	2018	5	11	3.05	18.1	spring
13	2018	5	11	3.35	17.8	spring
13	2018	5	11	3.66	17.3	spring
13	2018	5	11	3.96	16.7	spring
13	2018	5	11	4.27	15.8	spring
13	2018	5	11	4.57	14.7	spring
14	2018	5	15	0	16.9	spring
14	2018	5	15	0.3	16.9	spring
14	2018	5	15	0.61	16.9	spring
14	2018	5	15	0.91	16.9	spring
14	2018	5	15	1.22	16.9	spring
14	2018	5	15	1.52	16.9	spring
14	2018	5	15	1.83	16.8	spring
14	2018	5	15	2.13	16.8	spring
14	2018	5	15	2.44	16.8	spring
14	2018	5	15	2.74	16.8	spring
14	2018	5	15	3.05	18.2	spring
14	2018	5	15	3.35	18.4	spring
14	2018	5	15	3.66	17.8	spring
14	2018	5	15	3.96	16.8	spring
14	2018	5	15	4.27	16.0	spring
14	2018	5	15	4.57	15.5	spring
15	2018	5	19	0	15.5	spring
15	2018	5	19	0.3	15.5	spring
15	2018	5	19	0.61	15.5	spring
15	2018	5	19	0.91	15.5	spring
15	2018	5	19	1.22	15.5	spring
15	2018	5	19	1.52	15.5	spring
15	2018	5	19	1.83	15.6	spring
15	2018	5	19	2.13	15.9	spring
15	2018	5	19	2.44	16.4	spring
15	2018	5	19	2.74	17.1	spring
15	2018	5	19	3.05	18.1	spring
15	2018	5	19	3.35	18.1	spring
15	2018	5	19	3.66	17.9	spring
15	2018	5	19	3.96	17.4	spring
15	2018	5	19	4.27	16.7	spring
15	2018	5	19	4.57	15.9	spring
15	2018	5	19	4.88	15.0	spring
16	2018	5	21	0	17.5	spring
16	2018	5	21	0.3	17.5	spring
16	2018	5	21	0.61	17.5	spring
16	2018	5	21	0.91	17.5	spring
16	2018	5	21	1.22	17.5	spring
16	2018	5	21	1.52	17.6	spring
16	2018	5	21	1.83	17.5	spring
16	2018	5	21	2.13	17.5	spring
16	2018	5	21	2.44	17.5	spring
16	2018	5	21	2.74	17.6	spring
16	2018	5	21	3.05	18.0	spring
16	2018	5	21	3.35	18.3	spring
16	2018	5	21	3.66	18.1	spring
16	2018	5	21	3.96	17.5	spring
16	2018	5	21	4.27	16.8	spring
16	2018	5	21	4.57	15.8	spring
17	2018	5	24	0	18.8	spring
17	2018	5	24	0.3	18.7	spring
17	2018	5	24	0.61	18.7	spring
17	2018	5	24	0.91	18.7	spring
17	2018	5	24	1.22	18.7	spring
17	2018	5	24	1.52	18.7	spring
17	2018	5	24	1.83	18.7	spring
17	2018	5	24	2.13	18.5	spring
17	2018	5	24	2.44	18.5	spring
17	2018	5	24	2.74	18.4	spring
17	2018	5	24	3.05	18.5	spring
17	2018	5	24	3.35	18.5	spring
17	2018	5	24	3.66	18.3	spring
17	2018	5	24	3.96	17.6	spring
17	2018	5	24	4.27	16.7	spring
17	2018	5	24	4.57	15.8	spring
17	2018	5	24	4.88	15.0	spring
18	2018	5	27	0	17.7	spring
18	2018	5	27	0.3	17.7	spring
18	2018	5	27	0.61	17.5	spring
18	2018	5	27	0.91	17.3	spring
18	2018	5	27	1.22	17.3	spring
18	2018	5	27	1.52	17.3	spring
18	2018	5	27	1.83	17.3	spring
18	2018	5	27	2.13	17.3	spring
18	2018	5	27	2.44	17.2	spring
18	2018	5	27	2.74	18.2	spring
18	2018	5	27	3.05	19.0	spring
18	2018	5	27	3.35	19.2	spring
18	2018	5	27	3.66	18.7	spring
18	2018	5	27	3.96	18.0	spring
18	2018	5	27	4.27	17.2	spring
18	2018	5	27	4.57	16.2	spring
18	2018	5	27	4.88	15.2	spring
18	2018	5	27	5.18	14.3	spring
19	2018	5	30	0	20	spring
19	2018	5	30	0.3	20.0	spring
19	2018	5	30	0.61	20.0	spring
19	2018	5	30	0.91	20.0	spring
19	2018	5	30	1.22	19.9	spring
19	2018	5	30	1.52	19.8	spring
19	2018	5	30	1.83	18.7	spring
19	2018	5	30	2.13	18.4	spring
19	2018	5	30	2.44	18.2	spring
19	2018	5	30	2.74	18.2	spring
19	2018	5	30	3.05	19.1	spring
19	2018	5	30	3.35	19.3	spring
19	2018	5	30	3.66	18.3	spring
19	2018	5	30	3.96	18.0	spring
19	2018	5	30	4.27	17.3	spring
19	2018	5	30	4.57	16.3	spring
19	2018	5	30	4.88	15.1	spring
20	2018	6	1	0	20.6	spring
20	2018	6	1	0.3	21.1	spring
20	2018	6	1	0.61	21.1	spring
20	2018	6	1	0.91	21.2	spring
20	2018	6	1	1.22	21.3	spring
20	2018	6	1	1.52	21.1	spring
20	2018	6	1	1.83	20.0	spring
20	2018	6	1	2.13	19.6	spring
20	2018	6	1	2.44	19.4	spring
20	2018	6	1	2.74	19.4	spring
20	2018	6	1	3.05	19.5	spring
20	2018	6	1	3.35	18.9	spring
20	2018	6	1	3.66	18.2	spring
20	2018	6	1	3.96	17.3	spring
20	2018	6	1	4.27	16.5	spring
20	2018	6	1	4.57	14.8	spring
21	2018	6	5	0	17.5	spring
21	2018	6	5	0.3	17.5	spring
21	2018	6	5	0.61	17.5	spring
21	2018	6	5	0.91	17.5	spring
21	2018	6	5	1.22	17.5	spring
21	2018	6	5	1.52	17.5	spring
21	2018	6	5	1.83	17.5	spring
21	2018	6	5	2.13	17.4	spring
21	2018	6	5	2.44	17.4	spring
21	2018	6	5	2.74	17.5	spring
21	2018	6	5	3.05	19.5	spring
21	2018	6	5	3.35	19.6	spring
21	2018	6	5	3.66	19.2	spring
21	2018	6	5	3.96	18.5	spring
21	2018	6	5	4.27	17.6	spring
21	2018	6	5	4.57	16.4	spring
21	2018	6	5	4.88	15.5	spring
21	2018	6	5	5.18	14.4	spring
22	2018	6	7	0	18.4	spring
22	2018	6	7	0.3	18.5	spring
22	2018	6	7	0.61	18.5	spring
22	2018	6	7	0.91	18.3	spring
22	2018	6	7	1.22	18.2	spring
22	2018	6	7	1.52	18.3	spring
22	2018	6	7	1.83	18.4	spring
22	2018	6	7	2.13	18.4	spring
22	2018	6	7	2.44	18.4	spring
22	2018	6	7	2.74	18.4	spring
22	2018	6	7	3.05	19.5	spring
22	2018	6	7	3.35	19.9	spring
22	2018	6	7	3.66	19.5	spring
22	2018	6	7	3.96	18.8	spring
22	2018	6	7	4.27	17.7	spring
22	2018	6	7	4.57	16.4	spring
22	2018	6	7	4.88	15.5	spring
23	2018	6	9	0	21.2	spring
23	2018	6	9	0.3	21.2	spring
23	2018	6	9	0.61	21.1	spring
23	2018	6	9	0.91	21.2	spring
23	2018	6	9	1.22	21.2	spring
23	2018	6	9	1.52	21	spring
23	2018	6	9	1.83	20.9	spring
23	2018	6	9	2.13	20.7	spring
23	2018	6	9	2.44	20.5	spring
23	2018	6	9	2.74	20	spring
23	2018	6	9	3.05	20.4	spring
23	2018	6	9	3.35	20.4	spring
23	2018	6	9	3.66	19.9	spring
23	2018	6	9	3.96	18.9	spring
23	2018	6	9	4.27	17.6	spring
23	2018	6	9	4.57	16.6	spring
23	2018	6	9	4.88	15.6	spring
24	2018	6	11	0	20.5	spring
24	2018	6	11	0.3	20.5	spring
24	2018	6	11	0.61	200.5	spring
24	2018	6	11	0.91	20.4	spring
24	2018	6	11	1.22	20.4	spring
24	2018	6	11	1.52	20.4	spring
24	2018	6	11	1.83	20.4	spring
24	2018	6	11	2.13	20.4	spring
24	2018	6	11	2.44	20.3	spring
24	2018	6	11	2.74	20.2	spring
24	2018	6	11	3.05	20.3	spring
24	2018	6	11	3.35	20.7	spring
24	2018	6	11	3.66	20	spring
24	2018	6	11	3.96	19	spring
24	2018	6	11	4.27	17.9	spring
24	2018	6	11	4.57	16.7	spring
24	2018	6	11	4.88	15.5	spring
25	2018	6	15	0	20.5	spring
25	2018	6	15	0.3	20.5	spring
25	2018	6	15	0.61	20.5	spring
25	2018	6	15	0.91	20.5	spring
25	2018	6	15	1.22	20.5	spring
25	2018	6	15	1.52	20.5	spring
25	2018	6	15	1.83	20.5	spring
25	2018	6	15	2.13	20.5	spring
25	2018	6	15	2.44	20.5	spring
25	2018	6	15	2.74	20.5	spring
25	2018	6	15	3.05	20.5	spring
25	2018	6	15	3.35	20.9	spring
25	2018	6	15	3.66	20.5	spring
25	2018	6	15	3.96	19.5	spring
25	2018	6	15	4.27	18.2	spring
25	2018	6	15	4.57	16.8	spring
25	2018	6	15	4.88	15.5	spring
26	2018	6	19	0	22.1	spring
26	2018	6	19	0.3	22.1	spring
26	2018	6	19	0.61	22	spring
26	2018	6	19	0.91	22	spring
26	2018	6	19	1.22	22	spring
26	2018	6	19	1.52	22	spring
26	2018	6	19	1.83	21.9	spring
26	2018	6	19	2.13	21.7	spring
26	2018	6	19	2.44	21.8	spring
26	2018	6	19	2.74	21.5	spring
26	2018	6	19	3.05	21.3	spring
26	2018	6	19	3.35	20.9	spring
26	2018	6	19	3.66	20.5	spring
26	2018	6	19	3.96	19.5	spring
26	2018	6	19	4.27	18.4	spring
26	2018	6	19	4.57	17	spring
26	2018	6	19	4.88	15.7	spring
26	2018	6	19	5.18	14.7	spring
27	2018	6	22	0	24.3	spring
27	2018	6	22	0.3	24.3	spring
27	2018	6	22	0.61	24.4	spring
27	2018	6	22	0.91	24.3	spring
27	2018	6	22	1.22	24.3	spring
27	2018	6	22	1.52	24.2	spring
27	2018	6	22	1.83	23.9	spring
27	2018	6	22	2.13	23.6	spring
27	2018	6	22	2.44	23.4	spring
27	2018	6	22	2.74	22.7	spring
27	2018	6	22	3.05	22	spring
27	2018	6	22	3.35	21.3	spring
27	2018	6	22	3.66	20.7	spring
27	2018	6	22	3.96	19.9	spring
27	2018	6	22	4.27	18.7	spring
