#eigvals:	4.464	1.135	1.05	1.004	0.953	0.851	0.843	0.791	0.645	0.618	Site
Paw1	0.1946	-0.0092	-0.0011	-0.0425	-0.0272	0.0202	-0.0001	-0.0722	-0.1149	0.0512	BearPaw
Paw2	0.2097	-0.0179	0.0123	-0.0231	0.0075	-0.0196	-0.0491	0.0062	-0.1	0.0398	BearPaw
Paw3	0.2315	-0.0194	-0.0056	0.0093	-0.0385	0.0173	-0.0077	-0.0221	-0.1894	-0.1672	BearPaw
Paw4	0.2648	0.0518	-0.0019	-0.0096	0.0328	0.0939	0.0688	-0.0042	0.0099	-0.6208	BearPaw
Paw5	0.2424	-0.0261	0.0235	-0.0074	0.0515	-0.036	-0.0202	0.0142	-0.3298	0.6282	BearPaw
Paw6	0.2891	-0.0008	-0.0508	-0.0036	0.0136	-0.0499	-0.0834	0.094	0.8797	0.1565	BearPaw
Paw7	0.29	-0.0041	-0.0439	-0.0188	0.0061	-0.0443	0.0458	-0.0437	-0.1912	-0.2965	BearPaw
Paw8	0.2664	-0.0025	0.0255	0.0309	0.0003	0.0252	0.0691	0.0404	-0.0514	0.2438	BearPaw
Slough1	-0.2614	0.8012	-0.173	-0.3948	0.1067	0.006	0.0541	0.154	-0.0181	0.0362	RabbitSlough
Slough2	-0.2285	0.0083	0.1354	0.0965	-0.0755	-0.5293	-0.7352	-0.0794	-0.0465	-0.093	RabbitSlough
Slough3	-0.2179	0.2659	0.3985	0.6287	0.1106	0.45	-0.0186	-0.1981	0.0511	0.0318	RabbitSlough
Slough4	-0.2371	-0.0562	0.3575	0.0772	-0.4747	-0.4004	0.5392	0.2527	0.0329	-0.0147	RabbitSlough
Slough5	-0.2542	-0.1522	-0.2248	-0.1789	-0.0168	-0.0813	0.2397	-0.8261	0.1014	0.0495	RabbitSlough
Slough6	-0.2494	-0.2862	-0.0156	-0.3449	-0.4849	0.5772	-0.2693	0.1626	-0.0001	0.0109	RabbitSlough
Slough7	-0.2771	-0.3818	0.2886	-0.2717	0.7047	0.0025	0.09	0.2193	0.0146	-0.0457	RabbitSlough
Slough8	-0.2629	-0.1707	-0.7247	0.4527	0.084	-0.0315	0.0767	0.3026	-0.0483	-0.0101	RabbitSlough
