	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_glaucoma	0.006725131	0	0.003960249	0	0	0	0	0.006041111	0	0.003372629	0	0.009453333	0.010535984	0	0	0.011971113	0.005518465	0	0.007754793	0.014224305	0.01267306	0.028780432	0.003060079	0.01148061	0.01331769	0.002294006
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_varibonneti	0	0	0	0	0.007448699	0	0	0	0	0	0	0.007718614	0.010535984	0	0	0.005985556	0.003902144	0	0.006715848	0.006361303	0.005667565	0.018150558	0.005300213	0.005740305	0.007688972	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Scuticociliatia_2_XX; Scuticociliatia_2_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005483467	0.006361303	0.004908255	0.020580799	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_1; PHYLL_4; PHYLL_4_X; PHYLL_4_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082252	0.00899624	0	0	0	0	0	0.009999342
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_4; Chilodonellidae; Chilodonellidae_X; Chilodonellidae_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.012165906	0	0	0.008464855	0.054630013	0	0.073055746	0.036542901	0.066518476	0.058614141	0.024860201	0.067677197	0.168544651	0.008884649
Eukaryota; Alveolata; Ciliophora; Plagiopylea; Plagiopylea_X; Plagiopylidae; Plagiopylidae_X; Plagiopylidae_X_sp.	0	0	0.003960249	0	0.009122756	0	0	0.016544263	0	0	0	0	0.007853059	0	0	0	0	0	0	0	0	0	0	0	0.086707152	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_F; Strobilidiidae_F_X; Strobilidiidae_F_X_sp.	0.019606956	0.012336281	0.011201274	0.034801154	0.030256759	0	0.009972923	0.007398819	0.00453575	0.006745257	0.006769595	0.005457884	0	0.011243907	0.023462416	0.027429265	0.024985911	0.032452064	0.017340244	0.017992481	0.014168912	0.006136009	0.00967682	0.008118017	0.007688972	0.032603957
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_E; Strombidium_E; Strombidium_E_sp.	0	0	0.003960249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005483467	0.006361303	0.01267306	0.017355253	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_K; Strombidium_K; Strombidium_K_sp.	0.013450261	0.066432908	0.019401176	0.005246471	0	0	0.004986461	0.006041111	0.003703424	0.003372629	0	0	0	0.007111271	0	0	0	0.004566639	0	0	0	0	0	0	0.00313901	0.003973336
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_N; Strombidium_N; Strombidium_purpureum	0	0	0	0	0	0	0	0.010463511	0.002618716	0	0	0	0.013601897	0	0	0	0.021372922	0	0.002741733	0.020116205	0.014449512	0.003068004	0	0	0.007019039	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_paracapitatum	0	0	0.003960249	0	0	0	0.003525961	0	0.003703424	0	0	0	0	0	0.015563206	0.005985556	0.003902144	0.026233341	0.006715848	0	0.005667565	0.003068004	0.00967682	0.005740305	0.00313901	0.005619145
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_R_sp.	0.045363486	0.052338409	0.035861576	0.095017636	0	0.040624286	0.058258432	0.009551835	0.033330819	0.021857131	0.027078379	0.007718614	0.024331813	0.041769261	0.306326083	0.145018555	0.074243348	0.307053386	0.013708666	0.014224305	0.017696965	0.005313939	0.135682685	0.060613923	0.033662128	0.114860789
