	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11
1	0	0.629635295	0.004755385	0.201473507	0.037443942	0.087037844	0.148029274	0.021791914	25.5	24.9	4.3
2	0.110511325	0.581377936	0	0.214115346	0.042286642	0.088314335	0.122122955	0.053772604	25.3	14.6	5.4
3	0.003960249	0.333461391	0	0.157366942	0.033133816	0.048502941	0.07920497	0.584965036	22.5	26.1	0.5
4	0.010492943	0.101529726	0.043263511	0.536398774	0.039435879	0.191693741	0.182913088	0.011731466	26.4	24.8	3.8
5	0	0.144354805	0.051259516	0.69044222	0.095033946	0.124284908	0.144118222	0	26.4	25.2	0.5
6	0.04679412	0.273350606	0.034173594	0.217071501	0.015486225	0.121553247	0.064501243	0	27.1	21.3	7.1
7	0.033579238	0.668184646	0.020333238	0.217635604	0.103860678	0.087176772	0.036165946	0	25.3	17.8	2.8
8	0.063613026	0.491428636	0.022936003	0.217868809	0.089737216	0.137321649	0.076070115	0	25.7	25.5	0.1
9	0.033168572	0.452412268	0.010217348	0.190180368	0.082909324	0.084206738	0.045251876	0	23.2	26.2	0
10	0.003068004	0.653405698	0.006136009	0.211981117	0.13809428	0.041616436	0.018661942	0	25.3	17.8	2.8
11	0	0.221237592	0.025784686	0.257301537	0.042069134	0.128341051	0.099722907	0.003060079	22.6	22	5.1
12	0	0.629635295	0.004755385	0.201473507	0.037443942	0.087037844	0.148029274	0.021791914	25.5	24.9	4.3
13	0.110511325	0.581377936	0	0.214115346	0.042286642	0.088314335	0.122122955	0.053772604	25.3	14.6	5.4
14	0.003960249	0.333461391	0	0.157366942	0.033133816	0.048502941	0.07920497	0.584965036	22.5	26.1	0.5
15	0.010492943	0.101529726	0.043263511	0.536398774	0.039435879	0.191693741	0.182913088	0.011731466	26.4	24.8	3.8
16	0.005267026	0.179156313	0.028848688	0.403469295	0.057456467	0.09524437	0.248445105	0.223088229	26.7	19.7	6.3
17	0	0.14054612	0.050388225	0.625930476	0.071259711	0.162731346	0.151500225	0	26.5	22.8	5.7
18	0	0.170453853	0.063271103	0.600739272	0.056744967	0.151493261	0.155941566	0	26.4	25.2	0.5
19	0	0.176799274	0.048517303	0.409906166	0.097222476	0.066589374	0.073369034	0.063933106	24	25.9	0.1
20	0	0.16297171	0.05634806	0.678914548	0.03839792	0.168577011	0.188638489	0.007406849	26.5	22.8	5.7
21	0	0.144354805	0.051259516	0.69044222	0.095033946	0.124284908	0.144118222	0	26.4	25.2	0.5
22	0.022452206	0.05110932	0.077481554	0.533339253	0.100637262	0.173650334	0.030274548	0.006769595	27.2	22.5	8.6
