OTU_ID	Mar_19_rep1	Mar_19_rep2	Mar_29_rep1	Mar_29_rep2	Apr_08_rep1	Apr_08_rep2	Apr_11_rep1	Apr_11_rep2	Apr_13_rep1	Apr_13_rep2	Apr_19_rep1	Apr_19_rep2	Apr_24_rep1	Apr_24_rep2	Apr_27_rep1	Apr_27_rep2	Apr_29_rep1	Apr_29_rep2	May_02_rep1	May_02_rep2	May_04_rep1	May_04_rep2	May_07_rep1	May_07_rep2	May_09_rep1	May_09_rep2	May_11_rep1	May_11_rep2	May_15_rep1	May_15_rep2	May_19_rep1	May_19_rep2	May_21_rep1	May_21_rep2	May_24_rep1	May_24_rep2	May_27_rep1	May_27_rep2	May_29_rep1	May_29_rep2	Jun_01_rep1	Jun_01_rep2	Jun_05_rep1	Jun_05_rep2	Jun_07_rep1	Jun_07_rep2	Jun_09_rep1	Jun_09_rep2	Jun_11_rep1	Jun_11_rep2	Jun_15_rep1	Jun_19_rep1	Jun_19_rep2	Jun_22_rep1	Jun_22_rep2	Jun_26_rep1	Jun_26_rep2	Jun_29_rep1	Jun_29_rep2	Jul_03_rep1	Jul_03_rep2	Jul_05_rep1	Jul_05_rep2	Jul_09_rep1	Jul_12_rep1	Jul_12_rep2	Jul_16_rep1	Jul_16_rep2	Jul_19_rep1	Jul_24_rep1	Jul_24_rep2	Jul_27_rep1	Jul_27_rep2	Jul_30_rep1	Jul_30_rep2	Aug_06_rep1	Aug_06_rep2	Aug_09_rep1	Aug_09_rep2	Aug_13_rep1	Aug_13_rep2	Aug_16_rep1	Aug_16_rep2	Aug_20_rep1	Aug_20_rep2	Aug_23_rep1	Aug_23_rep2	Aug_29_rep1	Aug_29_rep2	Aug_31_rep1	Aug_31_rep2	Sep_04_rep1	Sep_04_rep2	Sep_07_rep1	Sep_07_rep2	Sep_12_rep1	Sep_12_rep2	Sep_14_rep1	Sep_14_rep2	Sep_17_rep1	Sep_17_rep2	Sep_20_rep1	Sep_20_rep2	Sep_24_rep1	Sep_24_rep2	Sep_28_rep1	Sep_28_rep2	Oct_01_rep1	Oct_01_rep2	Oct_03_rep1	Oct_03_rep2	Oct_08_rep1	Oct_08_rep2	Oct_10_rep1	Oct_10_rep2	level_0																																																																																																																																																																																																																																
175	0	0	31	42	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	35	87	117	176	264	784	544	1724	956	931	618	622	1425	1871	1350	236	370	117	37	186	108	156	385	125	233	421	1028	1058	193	2589	2737	2373	702	22132	0	0	125	120	94	18	40	36	343	119	36	514	138	91	0	0	62	0	0	119	96	51	0	0	0	0	15	20	0	49	0	0	65	0	0	9	11	0	0	0	0	0	0	0	0	0	0	20	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;__																																																																																																																																																																																																																																
158	22	95	67	63	72	620	826	262	108	146	12	0	0	9	9	0	0	0	0	0	0	6	0	10	93	69	0	0	0	0	0	0	31	17	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	0	21	0	0	1250	185	356	883	128	75	127	131	124	93	98	304	2966	2182	533	258	196	169	601	780	1326	2089	1808	2838	5566	3157	2435	2770	1836	667	300	316	56	111	116	120	1060	817	2956	4455	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium																																																																																																																																																																																																																																
280	0	0	9	5	0	0	27	0	0	0	13	22	32	63	40	36	114	82	920	1592	1352	949	3219	2121	688	1449	865	736	1374	1473	935	1023	2114	2123	1640	1670	922	658	41	86	88	96	107	53	192	412	207	213	318	353	229	341	145	399	141	264	103	87	455	51	29	39	176	143	205	419	2691	33	20	97	162	0	0	0	0	97	37	0	28	159	115	43	0	407	48	976	363	121	201	429	0	392	447	107	200	554	137	121	86	0	57	27	54	341	200	452	1157	704	182	119	572	339	227	207	199	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;Picochlorum																																																																																																																																																																																																																																
278	0	0	0	0	0	0	0	11	0	0	0	0	0	8	2	0	30	0	49	150	139	68	347	247	114	264	232	186	575	664	897	875	1614	1682	1595	1584	2152	1572	409	361	589	624	591	384	1221	2370	1347	847	1955	2157	1028	1034	931	1523	309	446	209	143	671	156	23	91	230	126	342	495	3876	71	42	222	288	23	5	59	28	51	174	12	27	206	160	15	0	131	11	270	86	0	0	117	0	165	136	0	0	208	0	0	0	0	0	0	0	106	62	155	336	235	84	0	146	195	75	121	153	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales_X;__																																																																																																																																																																																																																																
438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4902	3732	0	11520	16	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	5	0	0	0	0	0	0	19917	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Metazoa;__;__;__;__																																																																																																																																																																																																																																
325	0	269	475	284	82	873	1592	794	391	396	428	509	158	265	243	324	902	602	837	989	310	189	141	142	46	61	417	137	136	168	597	295	518	568	1114	1432	719	774	205	412	402	812	388	282	652	820	336	225	262	212	169	333	943	350	605	2418	1856	144	301	223	174	377	249	114	513	471	7566	130	76	53	89	25	0	32	81	13	16	10	14	19	12	8	12	22	37	19	53	21	0	0	0	0	0	0	0	0	0	0	0	0	4	7	20	27	0	0	6	0	0	0	0	12	9	0	5	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Cryptomonadales;__																																																																																																																																																																																																																																
356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	8	17	41	37	103	159	935	1057	712	371	1105	862	1232	666	2037	2800	2915	1716	3051	3302	563	802	1038	487	791	200	96	0	43	20	0	76	142	82	208	225	6880	491	114	101	447	53	7	65	84	386	104	105	234	71	9	54	22	63	33	9	80	120	61	29	12	0	4	52	64	111	195	57	51	138	106	110	126	204	52	33	0	3	34	10	19	0	15	24	6	Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Katablepharidales_X;Leucocryptos																																																																																																																																																																																																																																
29	0	78	323	455	0	67	388	272	128	141	262	473	370	1034	312	779	585	513	795	1021	547	327	1061	747	373	1236	1927	773	474	755	1011	848	656	523	748	1216	562	660	398	393	426	467	554	348	145	331	61	101	154	111	25	90	74	142	94	20	0	179	802	648	746	731	585	658	538	509	2662	24	0	76	94	0	16	23	0	29	6	5	12	67	17	22	52	34	50	17	13	518	395	189	66	65	377	111	161	0	0	85	106	489	260	307	555	73	27	0	0	0	34	0	5	0	0	0	0	Eukaryota;Alveolata;Ciliophora;CONThreeP;CONThreeP_X;CONThreeP_XX;Askenasia																																																																																																																																																																																																																																
153	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	67	100	3361	4977	4755	4038	16580	102	0	104	109	0	0	0	25	297	20	21	213	21	3	0	0	0	0	0	0	26	19	0	0	0	0	0	0	0	0	0	0	98	25	0	0	0	16	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;__																																																																																																																																																																																																																																
122	126	1472	477	354	0	269	166	180	571	232	2609	3070	741	1363	869	1113	955	770	744	598	494	236	691	534	159	751	778	430	287	527	483	436	76	49	216	331	72	87	56	37	135	257	83	41	31	29	213	263	636	534	156	1104	358	88	186	0	0	0	0	0	0	0	29	28	0	0	84	0	0	0	0	0	0	0	0	0	0	0	21	14	14	0	0	0	4	6	0	10	0	16	0	2168	4684	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	40	0	0	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_R;Strombidium_R																																																																																																																																																																																																																																
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	45	116	191	5745	6131	4606	2554	0	0	0	0	0	0	0	0	0	0	0	0	18	170	121	520	493	1279	3244	477	475	63	351	361	1386	1109	2092	72	28	442	380	135	72	14	17	162	31	79	517	28	14	57	0	47	11	19	48	18	28	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;__																																																																																																																																																																																																																																
453	0	0	0	0	114	1768	0	0	0	1415	1294	1611	0	0	343	87	1397	7964	0	0	0	5770	1432	993	0	0	0	6199	0	430	36	84	23	0	488	0	0	176	0	0	0	0	0	20	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Crustacea_X;Crustacea_XX																																																																																																																																																																																																																																
1	9	157	365	266	23	622	877	648	347	306	338	360	83	192	163	183	524	283	361	465	204	114	313	268	169	489	1125	369	198	261	956	724	450	371	793	1143	723	883	150	213	292	415	284	182	434	628	425	310	225	245	148	370	471	647	342	1308	590	141	189	74	45	118	105	108	230	193	3240	42	11	9	31	171	55	188	350	42	35	22	20	15	16	21	17	53	37	28	59	17	30	23	0	29	79	32	64	143	34	4	11	36	38	4	12	37	7	13	178	82	25	95	103	15	36	3	0	Eukaryota;__;__;__;__;__;__																																																																																																																																																																																																																																
656	0	24	101	41	8	0	968	532	161	120	194	282	544	1205	497	789	444	412	489	507	1372	917	879	642	2018	3290	2013	785	1535	2489	1503	1301	584	401	411	795	283	326	133	132	353	358	7	0	21	26	4	0	0	70	10	0	45	8	4	12	15	36	79	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;Pedinellales_X																																																																																																																																																																																																																																
543	0	2	7	0	0	6	0	13	0	0	0	0	18	21	10	12	178	172	2142	2414	1002	557	685	472	288	422	79	52	48	96	1245	880	242	243	147	263	213	265	36	21	6	11	0	10	8	9	15	7	32	33	0	146	164	111	351	5914	3861	390	902	10	0	26	308	339	169	264	645	0	0	0	17	30	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	5	93	20	43	43	455	596	275	208	142	81	0	10	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Novel-clade-2;Novel-clade-2_X																																																																																																																																																																																																																																
89	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	2	0	0	29	0	275	232	391	280	885	734	610	475	1430	1168	1066	797	1758	2163	723	137	440	304	244	716	443	105	155	102	48	121	0	0	172	127	2573	0	16	114	136	0	92	11	13	137	33	0	0	6	0	21	29	130	143	10	45	983	621	0	0	456	691	99	95	101	236	0	51	33	52	55	55	101	63	347	458	310	644	35	73	731	329	337	522	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Choreotrichida_X;Choreotrichida_XX																																																																																																																																																																																																																																
197	0	0	6	54	20	114	67	24	0	34	0	0	5	0	0	3	4	0	0	3	0	0	0	0	0	0	8	0	0	0	4	11	6	4	0	0	25	66	14	25	36	41	389	310	298	358	68	33	13	22	4	0	23	64	0	0	0	0	2	20	0	90	84	19	1836	1891	15059	151	41	21	20	10	0	41	121	204	200	212	403	193	147	68	57	0	14	2	31	846	543	184	88	22	29	44	72	0	5	0	0	19	3	0	0	5	0	0	0	0	0	0	3	0	0	0	0	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX																																																																																																																																																																																																																																
541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	10	4	7	13	0	12	22	0	4	24	28	62	153	1223	572	872	2292	2768	2393	5493	1171	1675	155	179	570	0	0	5	13	0	8	0	13	48	13	39	138	6	0	0	5	29	34	22	231	119	89	73	30	588	991	82	87	401	382	284	227	29	36	9	14	193	39	144	122	204	142	173	153	0	10	0	0	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Euglyphida;Paulinellidae;Paulinella																																																																																																																																																																																																																																
167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0	0	16	25	7418	6813	928	5656	172	134	82	289	274	220	92	39	686	78	55	74	20	37	62	8	50	0	30	33	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Islandinium																																																																																																																																																																																																																																
654	0	0	43	0	7	52	634	315	0	0	19	0	42	61	20	39	11	15	0	0	6	0	0	8	0	0	0	0	0	9	125	107	277	221	276	724	1013	1019	632	484	142	102	156	125	1364	1402	3325	2358	3680	3618	225	43	33	63	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	43	71	59	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;__																																																																																																																																																																																																																																
