cluster	neighbor	dist	otu_id	Taxonomy	Level1	Level2	Level3	Level4	Level5	Level6	Level7
6	5	0.16976871	721	Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;Bicoecales;Bicoecaceae;Bicoecaceae_X;Bicoecaceae_X_sp.;	Eukaryota	Stramenopiles	Stramenopiles	Bicoecea	Bicoecales	Bicoecaceae	Bicoecaceae_X
6	3	0.136173289	724	Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;Bicoecales;Bicoecaceae;__;__;__	Eukaryota	Stramenopiles	Stramenopiles	Bicoecea	Bicoecales	Bicoecaceae	__
6	5	0.105501656	718	Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;Anoecales;Cafeteriaceae;Cafeteria;Cafeteria_minima;	Eukaryota	Stramenopiles	Stramenopiles	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria
6	7	0.035770757	725	Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;Pseudodendromonadales;Pseudodendromonadales_X;__;__;__	Eukaryota	Stramenopiles	Stramenopiles	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	__
6	1	0.016740288	726	Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;__;__;__;__;__	Eukaryota	Stramenopiles	Stramenopiles	Bicoecea	__	__	__
6	4	0.03079901	743	Eukaryota;Stramenopiles;Stramenopiles_X;Labyrinthulea;__;__;__;__;__	Eukaryota	Stramenopiles	Stramenopiles	Labyrinthulea	__	__	__
6	4	0.027784667	737	Eukaryota;Stramenopiles;Stramenopiles_X;Labyrinthulea;Thraustochytriales;Thraustochytriaceae;Labyrinthuloides;Labyrinthuloides_minuta;	Eukaryota	Stramenopiles	Stramenopiles	Labyrinthulea	Thraustochytriales	Thraustochytriaceae	Labyrinthuloides
6	5	0.17820137	753	Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-20;MAST-20_X;MAST-20_XX;MAST-20_XX_sp.;	Eukaryota	Stramenopiles	Stramenopiles	MAST	MAST-20	MAST-20_X	MAST-20_XX
6	2	0.030676093	760	Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-3;MAST-3J;MAST-3J_X;MAST-3J_X_sp.;	Eukaryota	Stramenopiles	Stramenopiles	MAST	MAST-3	MAST-3J	MAST-3J_X
6	5	-0.008565545	763	Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-6;MAST-6_X;MAST-6_XX;MAST-6_XX_sp.;	Eukaryota	Stramenopiles	Stramenopiles	MAST	MAST-6	MAST-6_X	MAST-6_XX
6	7	0.009616402	780	Eukaryota;Stramenopiles;Stramenopiles_X;Oomycota;Oomycota_X;Peronosporales;__;__;__	Eukaryota	Stramenopiles	Stramenopiles	Oomycota	Oomycota_X	Peronosporales	__
6	7	0.018429231	787	Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_XX;Stramenopiles_XXX;Stramenopiles_XXXX;Stramenopiles_XXXXX;Stramenopiles_XXXXX_sp.;	Eukaryota	Stramenopiles	Stramenopiles	Stramenopiles_XX	Stramenopiles_XXX	Stramenopiles_XXXX	Stramenopiles_XXXXX
7	2	-0.03845256	46	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1;Philasterida;Parauronema;Parauronema_virginianum;	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Scuticociliatia_1	Philasterida	Parauronema
