"663"	"361"	"30"	"565"	"386"
"Mar_19_rep1"	-0.487079706749737	-2.0902756112768	0.385346832710041	-1.99181842419516	0.972760844330677
"Mar_19_rep2"	-0.547998683383526	-0.193041041751414	0.267719934903691	-2.02822994207017	0.542436360052502
"Mar_29_rep1"	-0.585982821026602	1.50194136775213	0.193682080451626	-0.483460486938011	0.281425972915346
"Mar_29_rep2"	-0.586591334232954	1.13679878915728	0.190678852169188	-0.245350951039283	0.296337300735445
"Apr_08_rep1"	-0.54051449959872	-2.04125044170753	0.276403940307774	-1.95686040498403	0.655898421935139
"Apr_08_rep2"	-0.616889967911437	0.369733471390329	0.129401048792868	-2.00794543675501	0.111467972725398
"Apr_11_rep1"	-0.656337260213439	1.60669818644071	0.0525823807546357	-0.426418585772884	-0.160344003651341
"Apr_11_rep2"	-0.60098129218195	1.12728099711826	0.155943020993976	-1.94999965920013	0.267719368383574
"Apr_13_rep1"	-0.592179006746973	1.04229052817691	0.170825582541651	-1.92022177723837	0.352104952202501
"Apr_13_rep2"	-0.601814349482816	0.894655553636956	0.150666320860763	-1.90794753056418	0.300376636620235
"Apr_19_rep1"	-0.611658154165232	1.42658099055382	0.130110864690323	-1.89587118580288	0.247109372092805
"Apr_19_rep2"	-0.616854610189861	1.42845192502948	0.118387974652516	-1.87938291260879	0.228150682498534
"Apr_24_rep1"	-0.600250956516528	1.37779803060306	0.148097506579277	-1.8421988554534	0.370129067395184
"Apr_24_rep2"	-0.619975175517645	1.93015548694695	0.108763727688956	-0.911605048593054	0.243920657284506
"Apr_27_rep1"	-0.612739608785372	1.55463263801698	0.1206686459454	-0.312516212594324	0.316740100929968
"Apr_27_rep2"	-0.62665662532058	1.76422616350323	0.0923718052326729	-0.280240068973018	0.233402767561033
"Apr_29_rep1"	-0.68425726692384	1.71846877075813	-0.0189483969143636	-0.336301567484031	-0.172424448611926
"Apr_29_rep2"	-0.657020101917817	1.67553941891669	0.0309707639823941	-0.27785696959268	0.0480547433521878
"May_02_rep1"	-0.678980606419834	1.64049865427265	-0.0126132102413589	0.457972790146011	-0.0946628151631487
"May_02_rep2"	-0.693256349617049	1.644922800428	-0.0415918325889535	0.740299407956606	-0.180648411330989
"May_04_rep1"	-0.690825888961657	0.351556893986456	-0.0388193079452109	0.631263247823213	-0.143302170588909
"May_04_rep2"	-0.645727656291175	0.660723603057771	0.0450458881992841	0.534297998427931	0.209034521957926
"May_07_rep1"	-0.734387693148545	1.60679772976064	-0.125304565995194	1.08667772592847	-0.426085494889377
"May_07_rep2"	-0.708869996704518	1.53473718256937	-0.0786533587006194	1.02549845098651	-0.218300103272181
"May_09_rep1"	-0.667787481297707	1.67996002040078	-0.00242027516766651	0.905629361874447	0.104390968341916
"May_09_rep2"	-0.705196859619086	1.76777724453955	-0.0753657648988855	1.17967307431169	-0.152376317037866
"May_11_rep1"	-0.717675769553701	0.88649475338425	-0.100929397369481	0.656459600021345	-0.225096975889457
"May_11_rep2"	-0.66825732271367	0.632294710369291	-0.00885337389750807	0.556416788306173	0.15913325477505
"May_15_rep1"	-0.679786258221985	-1.48189383320606	-0.0326115227337864	0.799290892441007	0.0934256847164992
"May_15_rep2"	-0.698408852640924	-1.4773359957164	-0.069851597731435	1.05338346567678	-0.0246500948753758
"May_19_rep1"	-0.731175515792099	-1.49346387675153	-0.133973327552345	1.21383911620864	-0.247143011568968
"May_19_rep2"	0.259631412673779	-1.46097948600316	-0.134922085707165	1.16725562901149	-0.224251450002202
"May_21_rep1"	-0.763680658136513	-1.47741587774196	-0.199444733593146	1.40746687979298	-0.448301663552789
"May_21_rep2"	-0.736436867052287	-0.36495698936227	-0.149512979435533	1.51771201885978	-0.227773555245765
"May_24_rep1"	-0.742386054883158	-1.38268568231435	-0.162666481624126	1.44857322082071	-0.252289210215501
"May_24_rep2"	-0.747937209728522	-1.3590108478098	-0.175063498141783	1.81073420488204	-0.273866427483505
"May_27_rep1"	0.878978577194677	-1.32394774149971	-0.172661145164815	1.42883712826818	-0.237958054533974
"May_27_rep2"	0.804243893452595	-1.30419815000842	-0.190159121924843	1.44407858995094	-0.279349069296214
"May_29_rep1"	0.927284134882927	-1.23490882859031	-0.14327886989213	1.0474514641398	-0.0706739930230007
"May_29_rep2"	-0.725836079607236	-1.19951429474738	-0.140445817806203	0.903199556738826	-0.0330926439041993
"Jun_01_rep1"	0.571082069464444	-1.20425957345665	-0.18977554577581	0.876780901287472	-0.198128588715995
"Jun_01_rep2"	0.399182484848248	-1.18173977585567	-0.203673564219637	0.874535825679132	-0.225536188263111
"Jun_05_rep1"	0.967462144406319	-1.19901049373986	-0.269280441663482	1.02644804274715	-0.453797903938014
"Jun_05_rep2"	0.788245433072296	-1.13526888740305	-0.229609596531219	0.965033142553793	-0.273126521399267
"Jun_07_rep1"	1.21549092565657	-1.1617792707297	-0.307223670960239	1.66229776303857	-0.548028116279945
"Jun_07_rep2"	1.59857994201448	-1.15297731312354	-0.338948396231754	1.81667009717962	-0.644680474125503
"Jun_09_rep1"	1.3832954616028	-1.12676579274225	-0.348048920338375	1.80286478422384	-0.653453036981384
"Jun_09_rep2"	1.00811813493959	-0.0454901537739703	-0.346715389704875	1.66041297098325	-0.621696319497596
"Jun_11_rep1"	1.69973243328514	-1.08098483443845	-0.3748815356761	1.41177354266235	-0.704525991755952
"Jun_11_rep2"	1.59679934440141	-1.03771245876126	-0.361811013487935	1.40101876728759	-0.627178961310305
"Jun_15_rep1"	1.54911543416909	-0.944184099903317	-0.283431471888606	1.08996705231759	-0.296150344717171
"Jun_19_rep1"	2.05267594384195	-0.951980059788434	-0.336725643164673	1.53971423105406	-0.476585483625616
"Jun_19_rep2"	1.4312045971004	-0.967246400416374	-0.399727777753028	1.22068434785448	-0.694729526350524
"Jun_22_rep1"	1.17645661388016	-0.961570543895874	-0.435514956558693	1.04697190525258	-0.807161782064483
"Jun_22_rep2"	1.71861264297643	-0.859523889715043	-0.346065658098939	1.159487424956	-0.433134610234434
"Jun_26_rep1"	2.067276948909	-0.90098619519018	-0.44311016273797	0.0520109053451318	-0.783510349416246
"Jun_26_rep2"	1.81030194705708	-0.81124649255751	-0.369654083128601	-1.11768609029325	-0.471606069066573
"Jun_29_rep1"	1.92036023350736	-0.761043316701468	-0.347576797272362	-1.08431439332164	-0.359273823500979
"Jun_29_rep2"	2.4763699693838	-0.804562020261894	-0.447293647251572	-0.0721559503962911	-0.720029825787989
"Jul_03_rep1"	1.82711007498751	-0.707959501452918	-0.364919151037725	-1.04828914289079	-0.373483499201112
"Jul_03_rep2"	1.5812808216747	-0.653592263169094	-0.337430552603098	-1.0122144575164	-0.240131946189129
"Jul_05_rep1"	1.94900693507093	-0.677916570781541	-0.412203762079973	0.561920478416002	-0.50399869268916
"Jul_05_rep2"	1.95942254745884	-0.684899663639822	-0.4644415905074	0.528234162698799	-0.680330650570322
"Jul_09_rep1"	1.96392293254815	-0.627819061820593	-0.433426902230576	-0.993133488416389	-0.533282611649773
