"cluster"	"neighbor"	"dist"	"otu_id"	"taxonomy"	"Level1"	"Level2"	"Level3"	"Level4"	"Level5"	"Level6"	"Level7"
"21"	1	4	0.116138042587013	"618"	"Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Bacillariophyta"	"Bacillariophyta_X"	"Raphid-pennate"	"Nitzschia"
"22"	1	5	0.112545173342677	"13"	"Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Gregarines;Gregarines_X;Gregarines_XX"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Apicomplexa_X"	"Gregarines"	"Gregarines_X"	"Gregarines_XX"
"23"	1	5	0.112454919196542	"180"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Peridiniales"	"Thoracosphaeraceae"	"Scrippsiella"
"24"	1	5	0.105594135892745	"342"	"Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;__;__;__"	"Eukaryota"	"Hacrobia"	"Haptophyta"	"Prymnesiophyceae"	"__"	"__"	"__"
"25"	1	5	0.105200400863368	"376"	"Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_D;Stephanoecidae_Group_D_X"	"Eukaryota"	"Opisthokonta"	"Choanoflagellida"	"Choanoflagellatea"	"Acanthoecida"	"Stephanoecidae_Group_D"	"Stephanoecidae_Group_D_X"
"26"	1	4	0.104004671793566	"481"	"Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Mulinia"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Heteroconchia"	"Mulinia"
"27"	1	4	0.102606673009681	"232"	"Eukaryota;Apusozoa;Hilomonadea;Planomonadida;Planomonadidae;Planomonadidae_Group-1;Planomonadidae_Group-1_X"	"Eukaryota"	"Apusozoa"	"Hilomonadea"	"Planomonadida"	"Planomonadidae"	"Planomonadidae_Group-1"	"Planomonadidae_Group-1_X"
"28"	1	4	0.101677856499097	"68"	"Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_2;Scuticociliatia_2_X;Protocyclidium"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Scuticociliatia_2"	"Scuticociliatia_2_X"	"Protocyclidium"
"29"	1	4	0.100928341134662	"724"	"Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-4;MAST-4D;MAST-4D_X"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"MAST"	"MAST-4"	"MAST-4D"	"MAST-4D_X"
"30"	1	4	0.0991030200031922	"276"	"Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pyramimonas"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Pyramimonadales"	"Pyramimonadales_X"	"Pyramimonadales_XX"	"Pyramimonas"
"31"	1	3	0.098931178707185	"18"	"Eukaryota;Alveolata;Ciliophora;__;__;__;__"	"Eukaryota"	"Alveolata"	"Ciliophora"	"__"	"__"	"__"	"__"
"32"	1	4	0.0982861578886697	"459"	"Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclopina"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Arthropoda"	"Crustacea"	"Maxillopoda"	"Cyclopina"
"33"	1	5	0.0966891962619798	"712"	"Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-12;MAST-12A;MAST-12A_X"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"MAST"	"MAST-12"	"MAST-12A"	"MAST-12A_X"
"34"	1	4	0.0942558033959324	"430"	"Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae_Group_MAIP_2;Abeoformidae_Group_MAIP_2_X"	"Eukaryota"	"Opisthokonta"	"Mesomycetozoa"	"Ichthyosporea"	"Ichthyosphonida"	"Abeoformidae_Group_MAIP_2"	"Abeoformidae_Group_MAIP_2_X"
"35"	1	3	0.0935696613378255	"723"	"Eukaryota;Stramenopiles;Stramenopiles_X;MAST;MAST-3;MAST-3J;MAST-3J_X"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"MAST"	"MAST-3"	"MAST-3J"	"MAST-3J_X"
"36"	1	4	0.0929489522147415	"646"	"Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-G;Chrysophyceae_Clade-G_X"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Chrysophyceae"	"Chrysophyceae_X"	"Chrysophyceae_Clade-G"	"Chrysophyceae_Clade-G_X"
"37"	1	5	0.0910778450514352	"255"	"Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastix"	"Eukaryota"	"Archaeplastida"	"Chlorophyta"	"Mamiellophyceae"	"Dolichomastigales"	"Dolichomastigaceae"	"Dolichomastix"
"38"	1	4	0.0907790661455802	"479"	"Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Gemma"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Heteroconchia"	"Gemma"
"39"	1	3	0.0868931988901277	"685"	"Eukaryota;Stramenopiles;Stramenopiles_X;Bicoecea;Bicoecales;Bicoecaceae;Halocafeteria"	"Eukaryota"	"Stramenopiles"	"Stramenopiles"	"Bicoecea"	"Bicoecales"	"Bicoecaceae"	"Halocafeteria"
"40"	1	5	0.0860887732611556	"366"	"Eukaryota;Opisthokonta;__;__;__;__;__"	"Eukaryota"	"Opisthokonta"	"Other"	"__"	"__"	"__"	"__"
"41"	1	4	0.0856745476937512	"325"	"Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Cryptomonadales;__"	"Eukaryota"	"Hacrobia"	"Cryptophyta"	"Cryptophyceae"	"Cryptophyceae_X"	"Cryptomonadales"	"__"
"42"	1	5	0.0850374950055217	"631"	"Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade_C;Ochromonas"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Chrysophyceae"	"Chrysophyceae_X"	"Chrysophyceae_Clade_C"	"Ochromonas"
"43"	1	4	0.0849699888383326	"199"	"Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Syndiniales"	"Dino-Group-II"	"Dino-Group-II-Clade-1"	"Dino-Group-II-Clade-1_X"
"44"	1	5	0.084822195622887	"484"	"Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Ostreoida;Crassostrea"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Mollusca"	"Bivalvia"	"Ostreoida"	"Crassostrea"
"45"	1	4	0.0828490411229249	"185"	"Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;__"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Suessiales"	"Suessiaceae"	"__"
"46"	1	4	0.0802208537504199	"334"	"Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptophyceae_X;Cryptophyceae_XX;Cryptophyceae_XXX"	"Eukaryota"	"Hacrobia"	"Cryptophyta"	"Cryptophyceae"	"Cryptophyceae_X"	"Cryptophyceae_XX"	"Cryptophyceae_XXX"
