	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
107	24.3	18	34	0.86120177	2.79666094		0.90450944	1.375
108	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
109	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
110	26.8	18	34	0.60610945	4.21971346			0.3
111	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
112	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
113	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
114	25.5	18.8	34	0.14743555	2.76116774			1.851
115	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
116	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
117			34		3.02969798		1.24992589	2.996
118	17.8		34	0.27492393	4.21989787	0.05520231		2.847
119			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
120	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
121	21.3	17.8	34		8.44858475		1.24735746	1.601
122	23	18	34		7.18331736	0.07581914	0.88218234	1.54
123	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
124	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
125	27.5	20		0.67201408	8.38006167		1.26698903	0.707
126	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
127	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
128	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
129	24.5	15.3	34		9.81178629			2.988
130	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
131	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
132	22	16	34		3.62048097			3.225
133	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
134	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
135	18.3	16	34		2.1538272		1.26792339	0.717
136	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
137	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
138	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
139	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
140	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
141	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
142	17	16.5	34		2.47836526			2.902
143	16.8	16.3	35		4.55118337		0.80323694	2.907
144	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
