	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8
446	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
447	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
448	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
449	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
450	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
451	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
452	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
453	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
454	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
455	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
456	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
457	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
458	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
459	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
460	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
461	17	16.5	34		2.47836526			2.902
462	16.8	16.3	35		4.55118337		0.80323694	2.907
463	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
464	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
465	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
466	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
467	19.5	15.6	34		368.516.943		0.39649923	1.56
468	16	16.1	34		192.760.767		0.64420558	1.417
469	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
470	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
471	20.5	16.6	34		491.676.702		398.961.658	0.7
472	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
473	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
474	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
475	13.3	14.2	34		335.568.200			2.096
476								
477	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
478	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
479	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
480	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
481								
482	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
483	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
484	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
485								
486	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
487	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
488	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
489	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
490	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
491	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
492	27	17.5	34					2.856
493	21	20	33					1.949
494	26	17	34					1.594
495	29	20	34					1.23
496	23	15	34					1.118
497	24	17	34					0.83
498	23	17.5	34					0.609
499		19	33					0.46
500	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
501	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
502	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
503	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
504	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
505	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
506	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
507	26.5	12.8	34		4.10791588			3.13
508	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
509	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
510	24.3	18	34	0.86120177	2.79666094		0.90450944	1.375
511	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
512	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
513	26.8	18	34	0.60610945	4.21971346			0.3
514	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
515	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
516	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
517	25.5	18.8	34	0.14743555	2.76116774			1.851
518	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
519	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
520			34		3.02969798		1.24992589	2.996
521	17.8		34	0.27492393	4.21989787	0.05520231		2.847
522			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
523	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
524	21.3	17.8	34		8.44858475		1.24735746	1.601
525	23	18	34		7.18331736	0.07581914	0.88218234	1.54
526	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
527	27.5	20		0.67201408	8.38006167		1.26698903	0.707
528	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
529	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
530	24.5	15.3	34		9.81178629			2.988
531	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
532	22	16	34		3.62048097			3.225
533	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
534	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
535	18.3	16	34		2.1538272		1.26792339	0.717
536	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
537	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
538	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
539	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
540	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
541	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
542	17	16.5	34		2.47836526			2.902
543	16.8	16.3	35		4.55118337		0.80323694	2.907
544	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
545	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
546	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
547	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
548	19.5	15.6	34		368.516.943		0.39649923	1.56
549	16	16.1	34		192.760.767		0.64420558	1.417
550	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
551	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
552	20.5	16.6	34		491.676.702		398.961.658	0.7
553	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
554	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
555	13.3	14.2	34		335.568.200			2.096
556								
557	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
558	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
559	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
560	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
561								
562	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
563	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
564	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
565	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
566	24.5	15.3	34		9.81178629			2.988
567	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
568	18.3	16	34		2.1538272		1.26792339	0.717
569	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
570	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
571	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
572	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
573	17	16.5	34		2.47836526			2.902
574	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
575	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
576	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
577	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
578	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
579	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
580	13.3	14.2	34		335.568.200			2.096
581								
582	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
583	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
584	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
585	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
586	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
587								
588	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
589	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
590	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
591								
592	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
593	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
594	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
595	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
596	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
597	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
598	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
599	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
600	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
601	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
602	26.8	18	34	0.60610945	4.21971346			0.3
603	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
604	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
605	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
606	25.5	18.8	34	0.14743555	2.76116774			1.851
607	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
608	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
609			34		3.02969798		1.24992589	2.996
610	17.8		34	0.27492393	4.21989787	0.05520231		2.847
611			32	0.47109591	5.21808205	0.28624272	1.72108027	2.833
612	23	17.8	34	0.22274232	7.12065515	0.2551114	3.91188988	1.848
613	21.3	17.8	34		8.44858475		1.24735746	1.601
614	23	18	34		7.18331736	0.07581914	0.88218234	1.54
615	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
616	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
617	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
618	27.5	20		0.67201408	8.38006167		1.26698903	0.707
619	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
620	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
621	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
622	24.5	15.3	34		9.81178629			2.988
623	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
624	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
625	22	16	34		3.62048097			3.225
626	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
627	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
628	18.3	16	34		2.1538272		1.26792339	0.717
629	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
630	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
631	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
632	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
633	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
634	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
635	17	16.5	34		2.47836526			2.902
636	16.8	16.3	35		4.55118337		0.80323694	2.907
637	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
638	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
639	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
640	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
641	19.5	15.6	34		368.516.943		0.39649923	1.56
642	16	16.1	34		192.760.767		0.64420558	1.417
643	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
644	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
645	20.5	16.6	34		491.676.702		398.961.658	0.7
646	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
647	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
648	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
649	13.3	14.2	34		335.568.200			2.096
650	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
651	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
652	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
653	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
654	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
655								
656	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
657	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
658	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
659								
660	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
661	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
662	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
663	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
664	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
665	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
666	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
667	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
668	17.8		34	0.27492393	4.21989787	0.05520231		2.847
669	23	18	34		7.18331736	0.07581914	0.88218234	1.54
670	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
671	28.3	20	34		8.70254607	0.08373814	2.35319588	0.92
672	31.8	20	34	0.40162698	8.29204861	0.15707403	1.63700583	0.816
673	27.5	20		0.67201408	8.38006167		1.26698903	0.707
674	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
675	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
676	24.5	19.5	34	0.72933438	6.26473726	0.17687965	0.36307309	1.647
677	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
678	24.5	15.3	34		9.81178629			2.988
679	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
680	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
681	22	16	34		3.62048097			3.225
682	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
683	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
684	18.3	16	34		2.1538272		1.26792339	0.717
685	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
686	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
687	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
688	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
689	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
690	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
691	17	16.5	34		2.47836526			2.902
692	16.8	16.3	35		4.55118337		0.80323694	2.907
693	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
694	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
695	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
696	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
697	16	16.1	34		192.760.767		0.64420558	1.417
698	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
699	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
700	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
701	13.3	14.2	34		335.568.200			2.096
702	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
703	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
704	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
705								
706	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
707	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
708	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
709								
710	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
711	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
712	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
713	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
714	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
715	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
716	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
717	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
718	27	17.5	34					2.856
719	26	17	34					1.594
720	29	20	34					1.23
721	23	15	34					1.118
722	23	17.5	34					0.609
723	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
724	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
725	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
726	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
727	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
728	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
729	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
730	26.5	12.8	34		4.10791588			3.13
731	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
732	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
733	24.3	18	34	0.86120177	2.79666094		0.90450944	1.375
734	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
735	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
736	26.8	18	34	0.60610945	4.21971346			0.3
737	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
738	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
739	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
740	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
741	24.5	15.3	34		9.81178629			2.988
742	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
743	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
744	22	16	34		3.62048097			3.225
745	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
746	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
747	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
748	19.5	15.6	34		368.516.943		0.39649923	1.56
749	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
750	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
751	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
752	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
753	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
754	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
755	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
756	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
757	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
758	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
759	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
760	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
761	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
762	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
763	29	20	34					1.23
764	24	17	34					0.83
765	23	17.5	34					0.609
766		19	33					0.46
767	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
768	26.5	13.5	34	0.45992612	2.53344865	0.09660993	0.57640175	0.609
769	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
770	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
771	28.5	13.5	34	0.69743456	6.32002733	0.19483969	2.94348612	1.941
772	23.5	11	34	0.75950658	5.57384693	0.20614744	1.79758424	2.479
773	26.5	11	34	0.37917359	4.44770123	0.24337135	1.75748877	2.899
774	26.5	12.8	34		4.10791588			3.13
775	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
776	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
777	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
778	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
779	26.8	18	34	0.60610945	4.21971346			0.3
780	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
781	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
782	21.5	16.5	34	0.52505727	3.45161568		5.10852963	1.104
783	25.5	18.8	34	0.14743555	2.76116774			1.851
784	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
785	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
786			34		3.02969798		1.24992589	2.996
787	17.8		34	0.27492393	4.21989787	0.05520231		2.847
788	21.3	17.8	34		8.44858475		1.24735746	1.601
789	23	18	34		7.18331736	0.07581914	0.88218234	1.54
790	28.9	18.6	34	0.3042622	9.6138788	0.16589333	5.33803892	1.34
791	24.8	16.8	34	0.57099117	8.13923172	0.1207861	0.78493458	1.556
792	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
793	24.5	15.3	34		9.81178629			2.988
794	22.3	15.3		0.22017042	7.85634114	0.2110399	2.07571329	3.232
795	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
796	22	16	34		3.62048097			3.225
797	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
798	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
799	18.3	16	34		2.1538272		1.26792339	0.717
800	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
801	21.3	16.2	34	0.20511208	5.66787229		8.75177184	0.43
802	19.7	15.4	35	1.41213507	8.60383916	0.21881931	1.64276403	1.021
803	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
804	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
805	19.3	16	34	0.516553675	5.138416332	0.116435804	0.92503873	2.504
806	17	16.5	34		2.47836526			2.902
807	16.8	16.3	35		4.55118337		0.80323694	2.907
808	24.5	16.1	34	0.12065417	5.68874843		0.9802817	2.61
809	21.8	16.8	34	0.10839159	5.75379553	0.2120795	2.4233697	2.512
810	23	15.8	35	0.103145444	3.432459875	0.081593557	0.369492772	2.636
811	24.5	15.4	34		388.553.437	0.1362162	1.380.458.067	2.506
812	19.5	15.6	34		368.516.943		0.39649923	1.56
813	23.5	16.1	34		308.472.192	0.06192189	0.2512548	1.629
814	23.4	15.8		0.64088392	314.520.666	0.08225597	0.20502392	0.859
815	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
816	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
817	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
818	13.3	14.2	34		335.568.200			2.096
819								
820	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
821	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
822	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
823	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
824	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
825								
826	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
827	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
828								
829	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
830	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
831	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
832	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
833								2.605
834	21	20	33					1.949
835	26	17	34					1.594
836	24	17	34					0.83
837	23.5	18.3		0.857251761	2.337330274	0.069182486	0.625133203	0.52
838	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
839	26.5	12.8	34		4.10791588			3.13
840	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
841	20.8	15.8		0.26956796	3.99431553		1.42315613	2.153
842	21.5	19.8		0.663421426	2.891279198	0.106077048	0.346832485	1.36
843	23	18.5	34	1.39859995	2.11237865		0.63125864	0.302
844	26.8	18	34	0.60610945	4.21971346			0.3
845	21.5	17.8	34	0.13728068	4.57914812		1.47610915	0.166
846	30.5	14.5	34	0.13651523	4.99604763	0.16272107	2.41098874	0.533
847	20.3	19.3	34	0.65253609	3.88623984	0.07189082	6.67253515	2.456
848	31	20.8	34	0.47165878	6.42046635	0.17623048	2.14191335	0.749
849	22.8	16	34	1.3294906	9.55889026	0.22767358	2.85282762	2.279
850	22	16	34		3.62048097			3.225
851	15.8	15		0.645455514	8.220016333	0.188656596	3.358025986	1.842
852	18.4	16.5	34	0.084449949	4.182439674	0.102966376	3.360362375	1.776
853	24	13.6	34		929.448.892	0.35865647	479.394.157	0.767
854	16.5	15	37	0.45541467	747.316.924		340.940.811	0.687
855	12.8	14.8	35		560.788.915	0.22233358	194.980.151	1.902
856	13.3	14.2	34		335.568.200			2.096
857								
858	15	15	34	0.59246255	473.112.511	0.29340584	335.872.437	3.596
859	12	14.8	34	0.34422829	425.226.139	0.06827934	107.608.610	3.427
860	16	14.9	35	0.56071625	460.514.160		0.77871442	2.764
861	15	15	34	0.21646576	747.205.437	0.37307113	403.130.774	1.998
862	15.7	15	34	0.26956796	568.920.077		0.62883643	2.221
863								
864	13	14.3	34	101.936.349	1.096.390.997	0.56482964	2.238.246.012	0.855
865	13.5	14.2	34	0.50139971	802.320.554	0.32011347	643.173.978	0.605
866	15	14	34	0.72139918	682.555.397	0.32735032	224.926.414	0.872
867								
868	11.7	13	34	0.27584549	1.026.670.677	0.46426078	400.626.666	1.505
869	12.8	13.1	34	0.61959417	925.552.032	0.42029521	342.771.250	1.673
870	10	11.8	35	113.919.458	1.403.286.008	0.67735015	653.670.004	2.665
871	9	11.5	34		928.442.401	0.24797953	193.721.117	2.778
872	13.7	12.2	34	0.31245337	669.121.430		149.546.708	2.946
873	13.5	12	34	0.44648775	786.365.667		157.456.749	3.232
874	9.5	11.3	34	0.34300256	697.263.111		140.486.230	3.022
875	8.7	11.2	35	0.34792908	840.643.114	0.31871464	368.415.534	2.655
876	28.3	11	34	0.18212627	6.61638308		1.21387498	1.016
877	25.5			0.86768967	7.05001699	0.33053471	2.40520795	1.601
878	25.5	13.8		0.21565437	3.99431553	0.10142842	0.31993432	2.477
879	19.5	18.8	34	0.07227133	4.24216682		7.36478308	2.813
880	24.5	14	35	0.44662338	9.79259867	0.4957588	6.28316885	3.544
881	22	16	34		3.62048097			3.225
882	18.3	14.5	34	0.13557029	9.17461814	0.20596462	11.97060512	2.311
883	16.6	15.3	34	0.73863394	4.09706819		2.22328082	0.908
