	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Dinoflagellata; Oxyrrhea; Oxyrrhinales; Oxyrrhinaceae; Oxyrrhis; Oxyrrhis_marina	0.021791914	0.053772604	0.584965036	0.011731466	0.223088229	0	0	0.063933106	0.007406849	0	0.006769595	0.057760819	0.082213686	0	0	0	0	0	0	0	0	0	0.003060079	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-I; Dino-Group-I-Clade-4; Dino-Group-I-Clade-4_X; Dino-Group-I-Clade-4_X_sp.	0.042798469	0	0.028003186	0.034202808	0.095098625	0.021963718	0.003525961	0.016544263	0	0.021062058	0	0	0.012165906	0.011243907	0.003318087	0	0.003902144	0.003229101	0.014764686	0	0.016030294	0.004338813	0.078971391	0.069479034	0.062623046	0.096320956
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-I; Dino-Group-I-Clade-4; Euduboscquella; Euduboscquella_crenulata	0	0	0	0.018916421	0	0.023090786	0.028207686	0.015983277	0.008281108	0.016174558	0.041730585	0.039733998	0.0400429	0.034104459	0.12512311	0.126690348	0.101530751	0.102419023	0.002741733	0	0	0.005313939	0.010600425	0.005740305	0.015054162	0.020389575
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II_X; Dino-Group-II_XX; Dino-Group-II_XX_sp.	0.017793023	0.019505373	0.014817893	0.070972948	0.037243496	0.043927436	0.047828458	0.020486403	0.051649162	0.046610654	0.023450564	0.025599747	0.014480325	0.030586734	0.100970202	0.065294711	0.026465627	0.084760059	0.046123093	0.034256663	0.020434695	0.021033178	0.036975078	0.02296122	0.027544698	0.031370066
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-10-and-11; Dino-Group-II-Clade-10-and-11_X; Dino-Group-II-Clade-10-and-11_X_sp.	0.074736748	0.094152581	0.024412611	0.003709815	0	0	0	0	0	0.014308851	0	0	0	0	0	0	0	0.005592967	0.024058612	0.012722605	0.004007573	0.003068004	0.027540713	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-16; Dino-Group-II-Clade-16_X; Dino-Group-II-Clade-16_X_sp.	0.020728244	0.022239548	0.006859352	0.062848259	0.047694946	0.052847616	0.033819827	0.015983277	0.042387629	0.026341071	0.009573653	0	0.003511995	0.005028428	0	0	0	0.003229101	0	0	0	0	0.007495633	0.005740305	0.012556039	0.009999342
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-2; Dino-Group-II-Clade-2_X; Dino-Group-II-Clade-2_X_sp.	0.024247803	0.085912258	0.018992685	0.049216263	0.022958433	0.08077847	0.089409353	0.035225426	0.089879598	0.084853618	0.040049463	0.024408401	0.031215291	0.041769261	0.264678519	0.065294711	0.028674783	0.079752913	0.057117616	0.026988721	0.029175575	0.017081925	0.043059132	0.019885	0.01985284	0.038179876
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-3; Dino-Group-II-Clade-3_X; Dino-Group-II-Clade-3_X_sp.	0.05187513	0.162375645	0.041535437	0.021631755	0.034538197	0.014251942	0.018987879	0.007398819	0.037218954	0.012160185	0.011725282	0.007718614	0.007023989	0	0	0	0.003902144	0	0	0	0.002833782	0	0.007495633	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-30; Dino-Group-II-Clade-30_X; Dino-Group-II-Clade-30_X_sp.	0	0	0.003960249	0	0	0	0	0	0	0	0.009573653	0	0	0.005028428	0	0	0.005518465	0.005592967	0.118973535	0.044981202	0.047248594	0.040817143	0.234869804	0.192877662	0.108919565	0.247359427
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-33; Dino-Group-II-Clade-33_X; Dino-Group-II-Clade-33_X_sp.	0.031183147	0.098690251	0.009700588	0.02316779	0	0.039675728	0.04332773	0.031390532	0.040653412	0.043973696	0.022452206	0.010915769	0	0.025640053	0.056699491	0.034901491	0.007804288	0.047016421	0.052380741	0.029151151	0.018365009	0.015941818	0.261614406	0.182474894	0.247424858	0.252340706
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-4; Dino-Group-II-Clade-4_X; Dino-Group-II-Clade-4_X_sp.	0.014266156	0.018504422	0	0.029445747	0.005267026	0.022534299	0.023652863	0.012815131	0.029395019	0.026124268	0.023450564	0.025599747	0.01720519	0.038950037	0.112619598	0.063908253	0.021726217	0.074689324	0.029145025	0.031806513	0.022846684	0.010627879	0.066763047	0.03829261	0.045596749	0.060171224
Eukaryota; Alveolata; Dinoflagellata; Syndiniales; Dino-Group-II; Dino-Group-II-Clade-5; Dino-Group-II-Clade-5_X; Dino-Group-II-Clade-5_X_sp.	0	0	0	0	0	0	0	0	0.005237433	0	0.006769595	0.005457884	0	0.007111271	0	0	0.003902144	0.004566639	0.003877396	0.00899624	0.006941321	0.005313939	0.236558179	0.210873209	0.140941184	0.239281475
																										
Temperature																										
Salinity																										
Dissolved Oxygen																										
