	X071017.C1D2	X071017.C2D1	X071017.C2D3	X071817.C1D2	X071817.C2D1	X072617.C1D1	X072617.C1D2	X072617.C1D3	X072617.C2D1	X072617.C2D2	X080317.C1D1	X080317.C1D2	X080317.C1D3	X080317.C2D1	X081817.C1D1	X081817.C1D2	X081817.C1D3	X081817.C2D1	X082417.C1D1	X082417.C1D2	X082417.C1D3	X082417.C2D1	X083017.C1D1	X083017.C1D2	X083017.C1D3	X083017.C2D1
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Pleuronematida; Cyclidium_2; Cyclidium_plouneouri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04535E-05	0	0	0	4.81819E-05	3.76506E-05	0	0	8.86804E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cristigera; Cristigera_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121814	0	0	0	0.001565913	0	0	0	9.85338E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_glaucoma	4.52274E-05	0	1.56836E-05	0	0	0	0	3.6495E-05	0	1.13746E-05	0	8.93655E-05	0.000111007	0	0	0.000143308	3.04535E-05	0	6.01368E-05	0.000202331	0.000160606	0.000828313	9.36408E-06	0.000131804	0.000177361	5.26247E-06
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Cyclidium_3; Cyclidium_varibonneti	0	0	0	0	5.54831E-05	0	0	0	0	0	0	5.9577E-05	0.000111007	0	0	3.58269E-05	1.52267E-05	0	4.51026E-05	4.04662E-05	3.21213E-05	0.000329443	2.80923E-05	3.29511E-05	5.91203E-05	0
Eukaryota; Alveolata; Ciliophora; Oligohymenophorea; Scuticociliatia_2; Scuticociliatia_2_X; Scuticociliatia_2_XX; Scuticociliatia_2_XX_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00684E-05	4.04662E-05	2.4091E-05	0.000423569	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_1; PHYLL_4; PHYLL_4_X; PHYLL_4_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.76539E-05	8.09323E-05	0	0	0	0	0	9.99868E-05
Eukaryota; Alveolata; Ciliophora; Phyllopharyngea; Cyrtophoria_4; Chilodonellidae; Chilodonellidae_X; Chilodonellidae_X_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.000148009	0	0	7.16538E-05	0.002984438	0	0.005337142	0.001335384	0.004424708	0.003435617	0.00061803	0.004580203	0.028407299	7.8937E-05
Eukaryota; Alveolata; Ciliophora; Plagiopylea; Plagiopylea_X; Plagiopylidae; Plagiopylidae_X; Plagiopylidae_X_sp.	0	0	1.56836E-05	0	8.32247E-05	0	0	0.000273713	0	0	0	0	6.16705E-05	0	0	0	0	0	0	0	0	0	0	0	0.00751813	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Choreotrichida; Strobilidiidae_F; Strobilidiidae_F_X; Strobilidiidae_F_X_sp.	0.000384433	0.000152184	0.000125469	0.00121112	0.000915471	0	9.94592E-05	5.47425E-05	2.0573E-05	4.54985E-05	4.58274E-05	2.97885E-05	0	0.000126425	0.000550485	0.000752365	0.000624296	0.001053136	0.000300684	0.000323729	0.000200758	3.76506E-05	9.36408E-05	6.59022E-05	5.91203E-05	0.001063018
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_E; Strombidium_E; Strombidium_E_sp.	0	0	1.56836E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00684E-05	4.04662E-05	0.000160606	0.000301205	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_K; Strombidium_K; Strombidium_K_sp.	0.00018091	0.004413331	0.000376406	2.75255E-05	0	0	2.48648E-05	3.6495E-05	1.37154E-05	1.13746E-05	0	0	0	5.05702E-05	0	0	0	2.08542E-05	0	0	0	0	0	0	9.85338E-06	1.57874E-05
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_N; Strombidium_N; Strombidium_purpureum	0	0	0	0	0	0	0	0.000109485	6.85768E-06	0	0	0	0.000185012	0	0	0	0.000456802	0	7.5171E-06	0.000404662	0.000208788	9.41265E-06	0	0	4.92669E-05	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_paracapitatum	0	0	1.56836E-05	0	0	0	1.24324E-05	0	1.37154E-05	0	0	0	0	0	0.000242213	3.58269E-05	1.52267E-05	0.000688188	4.51026E-05	0	3.21213E-05	9.41265E-06	9.36408E-05	3.29511E-05	9.85338E-06	3.15748E-05
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae_R; Strombidium_R; Strombidium_R_sp.	0.002057846	0.002739309	0.001286053	0.009028351	0	0.001650333	0.003394045	9.12375E-05	0.001110943	0.000477734	0.000733239	5.9577E-05	0.000592037	0.001744671	0.093835669	0.021030381	0.005512075	0.094281782	0.000187928	0.000202331	0.000313183	2.8238E-05	0.018409791	0.003674048	0.001133139	0.013193001
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidiidae_X; Strombidiidae_X_sp.	4.52274E-05	0	0	8.25764E-05	0	0	8.70268E-05	0	4.80037E-05	1.13746E-05	0	0.000119154	3.70023E-05	0.000303421	0	7.16538E-05	1.52267E-05	5.21355E-05	9.02052E-05	0	4.01516E-05	4.70633E-05	3.74563E-05	3.29511E-05	9.85338E-06	4.20997E-05
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Strombidiida; Strombidiidae; Strombidium; Strombidium_sp.	0.001628186	0.002587125	9.41014E-05	0.000578035	2.77416E-05	0.002589753	0.006439983	0.00014598	0.010156218	0.007905363	0.000779066	0.004944891	0.000764715	0.006017851	0.002444153	0	0	0	0	0	0.000281061	2.8238E-05	0.004569673	0.001433373	0.003024988	0.014629654
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Eutintinnidae; Eutintinnus; Eutintinnus_sp.	0.000316592	0	4.70507E-05	0.000220204	8.32247E-05	0	0	0	0	0	0	0	0.000148009	0	0	0	0	0	0.000669022	8.09323E-05	0	0	0.00311824	0.000527218	0.001409034	0.001415603
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; TIN_02; Tintinnopsis_02; Tintinnopsis_platensis	0	0	0	0.000536746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; TIN_09; Tintinnopsis_09; Tintinnopsis_ventricosoides	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52851E-05	1.10097E-05	0	0	0	0	0	0	0	9.36408E-05	3.29511E-05	1.97068E-05	6.84121E-05
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Tintinnida_X; Tintinnida_XX; Tintinnida_XX_sp.	0.000565342	0.000418506	0	0	0	0.002894429	0.002635669	0.001715266	0.000569187	0.002718535	0.000137482	0.001102175	0.001615768	0.002300943	0	0	3.04535E-05	0	0.000127791	0.001537714	3.21213E-05	0.000216491	0.043346349	0.025355872	0.042537049	0.045804499
Eukaryota; Alveolata; Ciliophora; Spirotrichea; Tintinnida; Tintinnidiidae; Tintinnidium; Tintinnidium_sp.	0	0	0	0	0	0.000152338	0.002735128	0.000255465	0.001803569	0.002536541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Dinophyceae_XXX; Dinophyceae_XXX_sp.	0.006625811	0.003652412	0.005865655	0.003853565	0.00266319	0.003935409	0.003617828	0.002390424	0.004354624	0.003571632	0.011319371	0.003812928	0.004908974	0.039166603	0.009369254	0.007631126	0.003761001	0.007100851	0.003239871	0.01278731	0.004215919	0.002371988	0.017248645	0.008155397	0.006808687	0.009593475
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Tovelliaceae; Woloszynskia; Woloszynskia_sp.	0.000113068	7.60919E-05	6.27343E-05	0	5.54831E-05	2.53897E-05	3.72972E-05	0	6.85768E-05	3.41239E-05	0	0	0	2.52851E-05	0	0	0	0	7.5171E-06	4.04662E-05	8.03032E-06	0	9.36408E-06	1.64756E-05	2.95601E-05	3.68373E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Dinophysiales; Dinophysiaceae; Dinophysis; Dinophysis_acuminata	0.011849574	0.000114138	0.00268189	0.000867052	0.001109662	0.002107348	0.001516753	0.000766395	0.001865288	0.000875846	0.001374822	0.000863867	0.001036065	0.001946952	0.000627553	0.000644884	0.000426348	0.000469219	0.000293167	0.001254451	0.000473789	0.00014119	0.000739763	0.000856729	0.000906511	0.001384028
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Goniodomataceae; Alexandrium; Alexandrium_hiranoi	2.26137E-05	0	0	0.000578035	2.77416E-05	0.000101559	9.94592E-05	0.000109485	0.000102865	7.96224E-05	0.002016406	0.000983021	0.000777049	0.002225088	1.10097E-05	0.00057323	0.001142004	0	0	0.000161865	0.000361365	1.88253E-05	0	6.59022E-05	0	1.57874E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Goniodomataceae; Alexandrium; Alexandrium_ostenfeldii	0	0	0	0	0	0	0	0	2.74307E-05	0	0	2.97885E-05	0	5.05702E-05	0	3.58269E-05	4.56802E-05	1.04271E-05	7.5171E-06	4.04662E-05	4.01516E-05	0	0	3.29511E-05	0	2.63123E-05
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Gonyaulax; Gonyaulax_cochlea	0	0	0	1.37627E-05	0	0	0.000111892	1.82475E-05	0	0	0	0	2.46682E-05	0	0	3.58269E-05	3.04535E-05	0	3.75855E-05	0	0	0	0	0	0	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Gonyaulax; Gonyaulax_spinifera	0	0.012212753	1.56836E-05	0.000110102	2.77416E-05	0	0	0	0	0	0.000504102	0.005391719	0.002873847	0.000707983	0.002653338	0.007738607	0	0.00218969	0.001127565	0.004046617	0.001100154	9.41265E-06	0	0	0	0.001715564
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gonyaulacales; Gonyaulacaceae; Lingulodinium; Lingulodinium_polyedra	0	0	0	0.000412882	0.002718673	0	1.24324E-05	0	0	0	0	0	0	5.05702E-05	0	0	0.000730883	0	0	0.000809323	0	0.000207078	0	0.000362462	0	0
Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Akashiwo; Akashiwo_sanguinea	0	0	0	1.37627E-05	0	0	0	0	0	0	0	0	0	2.52851E-05	0	0	1.52267E-05	0	0	0	0	0	1.87282E-05	6.59022E-05	2.95601E-05	6.84121E-05
