Sample ID	Month	Depth
061918-C2D1-plate2-wellE7	June	1
061918-C2D2-plate2-wellE8	June	2
061918-C2D3-plate2-wellE10	June	3
062218-C1D1-plate2-wellE11	June	1
062218-C1D2-plate2-wellF1	June	2
062218-C1D3-plate2-wellF3	June	3
062218-C2D1-plate2-wellE12	June	1
062218-C2D2-plate2-wellF2	June	2
062218-C2D3-plate2-wellF4	June	3
062618-C1D1-plate2-wellF5	June	1
062618-C1D2-plate2-wellF7	June	2
062618-C1D3-plate2-wellF9	June	3
062618-C2D1-plate2-wellF6	June	1
062618-C2D2-plate2-wellF8	June	2
062618-C2D3-plate2-wellF10	June	3
062918-C1D1-plate2-wellF11	June	1
062918-C1D2-plate2-wellG1	June	2
062918-C1D3-plate2-wellG3	June	3
062918-C2D1-plate2-wellF12	June	1
062918-C2D2-plate2-wellG2	June	2
062918-C2D3-plate2-wellG4	June	3
070318-C1D1-plate2-wellG5	July	1
070318-C1D2-plate2-wellG7	July	2
070318-C1D3-plate2-wellG9	July	3
070318-C2D1-plate2-wellG6	July	1
070318-C2D2-plate2-wellG8	July	2
070318-C2D3-plate2-wellG10	July	3
070518-C1D3-plate2-wellH1	July	3
070518-C2D1-plate2-wellG11	July	1
070518-C2D2-plate2-wellG12	July	2
070518-C2D3-plate2-wellH2	July	3
070918-C1D1-plate2-wellH3	July	1
070918-C1D2-plate2-wellH5	July	2
070918-C2D1-plate2-wellH4	July	1
070918-C2D2-plate2-wellH6	July	2
070918-C2D3-plate2-wellH8	July	3
071218-C1D1-plate2-wellH9	July	1
071218-C1D2-plate2-wellH11	July	2
071218-C2D1-plate2-wellH10	July	1
071218-C2D2-plate2-wellH12	July	2
071218-C2D3-plate3-wellA2	July	3
071618-C1D2-plate3-wellA5	July	2
071618-C2D1-plate3-wellA4	July	1
071618-C2D3-plate3-wellA8	July	3
071918-C1D1-plate3-wellA9	July	1
071918-C1D2-plate3-wellA11	July	2
071918-C1D3-plate3-wellB1	July	3
071918-C2D1-plate3-wellA10	July	1
071918-C2D2-plate3-wellA12	July	2
071918-C2D3-plate3-wellB2	July	3
072418-C1D1-plate3-wellB3	July	1
072418-C1D2-plate3-wellB5	July	2
072418-C1D3-plate3-wellB7	July	3
072418-C2D1-plate3-wellB4	July	1
072418-C2D2-plate3-wellB6	July	2
072418-C2D3-plate3-wellB8	July	3
072718-C1D1-plate3-wellB9	July	1
072718-C1D2-plate3-wellB11	July	2
072718-C1D3-plate3-wellC1	July	3
072718-C2D1-plate3-wellB10	July	1
072718-C2D2-plate3-wellB12	July	2
072718-C2D3-plate3-wellC2	July	3
073018-C1D1-plate3-wellC3	July	1
073018-C1D2-plate3-wellC5	July	2
073018-C1D3-plate3-wellC7	July	3
073018-C2D1-plate3-wellC4	July	1
073018-C2D2-plate3-wellC6	July	2
073018-C2D3-plate3-wellC8	July	3
080618-C1D1-plate3-wellC9	August	1
080618-C1D2-plate3-wellC11	August	2
080618-C1D3-plate3-wellD1	August	3
080618-C2D1-plate3-wellC10	August	1
080618-C2D2-plate3-wellC12	August	2
080618-C2D3-plate3-wellD2	August	3
080918-C1D1-plate3-wellD3	August	1
080918-C1D2-plate3-wellD5	August	2
080918-C1D3-plate3-wellD7	August	3
080918-C2D1-plate3-wellD4	August	1
080918-C2D2-plate3-wellD6	August	2
080918-C2D3-plate3-wellD8	August	3
081318-C1D1-plate3-wellD9	August	1
081318-C1D2-plate3-wellD11	August	2
081318-C1D3-plate3-wellE1	August	3
081318-C2D1-plate3-wellD10	August	1
081318-C2D2-plate3-wellD12	August	2
081318-C2D3-plate3-wellE2	August	3
081618-C1D1-plate3-wellE3	August	1
081618-C1D2-plate3-wellE5	August	2
081618-C1D3-plate3-wellE7	August	3
081618-C2D1-plate3-wellE4	August	1
081618-C2D2-plate3-wellE6	August	2
