Cluster 1 ASV_ID	Cluster 1 Taxonomy	Cluster 2 ASV_ID	Cluster 2 Taxonomy	Cluster 3 ASV_ID	Cluster 3 Taxonomy	Cluster 4 ASV_ID	Cluster 4 Taxonomy	Cluster 5 ASV_ID	Cluster 5 Taxonomy
332	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Rhodomonas	472	Eukaryota;Opisthokonta;Metazoa;Cnidaria;Hydrozoa;Rathkea	739	Eukaryota;Stramenopiles;Oomycota;Peronosporales	480	Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Macoma	692	Eukaryota;Stramenopiles;Labyrinthulea;Labyrinthulales;Labyrinthulaceae;Aplanochytrium
342	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae	477	Eukaryota;Opisthokonta;Metazoa;Ctenophora			482	Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Mya	717	Eukaryota;Stramenopiles;MAST;MAST-2;MAST-2B
347	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	490	Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea			501	Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Polycladida;Paraplanocera	598	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Polar-centric-Mediophyceae;Minutocellus
356	Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Leucocryptos	494	Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Halomonhystera			544	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida	606	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Radial-centric-basal-Coscinodiscophyceae;Rhizosolenia
366	Eukaryota;Opisthokonta	497	Eukaryota;Opisthokonta;Metazoa;Nemertea			543	Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Novel-clade-2	607	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Raphid-pennate
368	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea	502	Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Prolecithophora;Plagiostomum			559	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea	657	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pseudopedinella
369	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida	508	Eukaryota;Opisthokonta;Metazoa;Rotifera;Brachionus			565	Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage		
376	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae-GroupD	524	Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida			751	Eukaryota;Stramenopiles		
374	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae-GroupD	517	Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;op14-lineage			731	Eukaryota;Stramenopiles;MOCH;MOCH-3		
378	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae-GroupH	520	Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;Sey055-lineage			600	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Polar-centric-Mediophyceae;Thalassiosira		
