Cluster 1 ASV_ID	Cluster 1 Taxonomy	Cluster 2 ASV_ID	Cluster 2 Taxonomy	Cluster 3 ASV_ID	Cluster 3 Taxonomy	Cluster 4 ASV_ID	Cluster 4 Taxonomy	Cluster 5 ASV_ID	Cluster 5 Taxonomy
157	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium	154	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo	82	Eukaryota;Alveolata;Ciliophora;Plagiopylea;Plagiopylidae	186	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Ansanella	152	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales
167	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Islandinium	156	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Balechina	86	Eukaryota;Alveolata;Ciliophora;Prostomatea-3;Holophryidae;Prorodon	192	Eukaryota;Alveolata;Dinoflagellata;Oxyrrhea;Oxyrrhinales;Oxyrrhinaceae;Oxyrrhis	153	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae
175	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae	158	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium	87	Eukaryota;Alveolata;Ciliophora;Spirotrichea	196	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II	160	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Paragymnodinium
179	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Pfiesteria	161	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos	110	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-E	215	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-56	166	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Archaeperidinium
180	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella	163	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Kareniaceae	119	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae-N;Strombidium-N	217	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-III	168	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium
184	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales	164	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Warnowiaceae	124	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;Novistrombidium	219	Eukaryota;Alveolata;Perkinsea;Perkinsida	169	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Diplopsalidaceae;Diplopsalis
185	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae	205	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-26	162	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Levanderina	235	Eukaryota;Archaeplastida	170	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa
189	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium	207	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-30	171	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Kryptoperidiniaceae;Durinskia	241	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales	181	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Thoracosphaeraceae;Stoeckeria
194	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4	239	Eukaryota;Archaeplastida;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Chlorodendraceae;Tetraselmis	214	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-5	244	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonas	183	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum
199	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1	250	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae	268	Eukaryota;Archaeplastida;Chlorophyta;Pedinophyceae;Marsupiomonadales;Marsupiomonadaceae;Marsupiomonas	262	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas	187	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Biecheleria
204	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2	251	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastigaceae-AB	313	Eukaryota;Excavata;Discoba;Jakobida	263	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;RCC391	191	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Torodiniales;Torodiniaceae;Kapelodinium
206	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3	254	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Dolichomastigales;Dolichomastigaceae;Dolichomastigaceae-B	331	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Proteomonas	267	Eukaryota;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcales-Clade-B;Prasinoderma	195	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Euduboscquella
209	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-33	258	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus	335	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Goniomonadales	278	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales	201	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-14
210	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-39	261	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella	341	Eukaryota;Hacrobia;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Rebecca	280	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Picochlorum	208	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-32
212	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya	288	Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;Ulotrichales	337	Eukaryota;Hacrobia;Palpitomonas	284	Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Choricystis	198	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-52
227	Eukaryota;Amoebozoa;Lobosa;Tubulinea;Leptomyxida;Flabellulidae;Paraflabellula	333	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Teleaulax	362	Eukaryota;Hacrobia;Telonemia;Telonemia-Group-1	289	Eukaryota;Archaeplastida;Chlorophyta;Ulvophyceae;Ulotrichales;Gayralia	236	Eukaryota;Archaeplastida;Chlorophyta
232	Eukaryota;Apusozoa;Hilomonadea;Planomonadida;Planomonadidae;PlanomonadidaeGroup-1	339	Eukaryota;Hacrobia;Haptophyta	370	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Acanthoecidae-GroupG	305	Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Pinus	257	Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus
247	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyceae;Sphaeropleales;Desmodesmus	346	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales	427	Eukaryota;Opisthokonta;Fungi	328	Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Falcomonas	275	Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales
